Region,SettlementType,Year,TypeOfIncome,Amount(RSD),StructuralPercentage
Voyvodina/North,Total,2006,Foreign Earnings,520.0,1.5
Voyvodina/North,Total,2006,Real Estate Earnings,1905.0,5.6
Voyvodina/North,Total,2006,Presents,296.0,0.9
Voyvodina/North,Total,2006,Investment Interest,1962.0,5.8
Voyvodina/North,Total,2006,Rest,1140.0,3.4
Voyvodina/North,Total,2006,Earnings in Labor,1911.0,5.6
Voyvodina/North,Total,2006,Other Earnings in Labor,26.0,0.1
Voyvodina/North,City,2006,Total Earnings,36346.0,100.0
Voyvodina/North,City,2006,Earnings in Currency,35525.0,97.7
Voyvodina/North,City,2006,Earnings from Orthodox Work Relations a.k.a. Job,17114.0,47.1
Voyvodina/North,City,2006,Earnings from Unorthodox Work Relations,949.0,2.6
Voyvodina/North,City,2006,Pensions,9948.0,27.4
Voyvodina/North,City,2006,Social Sequrity Earnings,1159.0,3.2
Voyvodina/North,City,2006,"Earnings from Agricultural, Hunting and Fishing Actions",369.0,1.0
Voyvodina/North,City,2006,Foreign Earnings,325.0,0.9
Voyvodina/North,City,2006,Real Estate Earnings,2577.0,7.1
Voyvodina/North,City,2006,Presents,147.0,0.4
Voyvodina/North,City,2006,Investment Interest,1822.0,5.0
Voyvodina/North,City,2006,Rest,1115.0,3.1
Voyvodina/North,City,2006,Earnings in Labor,821.0,2.3
Voyvodina/North,City,2006,Other Earnings in Labor,27.0,0.1
Voyvodina/North,Rest,2006,Total Earnings,30629.0,100.0
Voyvodina/North,Rest,2006,Earnings in Currency,27222.0,88.9
Voyvodina/North,Rest,2006,Earnings from Orthodox Work Relations a.k.a. Job,11217.0,36.8
Voyvodina/North,Rest,2006,Earnings from Unorthodox Work Relations,1141.0,3.7
Voyvodina/North,Rest,2006,Pensions,5893.0,19.2
Voyvodina/North,Rest,2006,Social Sequrity Earnings,962.0,3.1
Voyvodina/North,Rest,2006,"Earnings from Agricultural, Hunting and Fishing Actions",2412.0,7.9
Voyvodina/North,Rest,2006,Foreign Earnings,787.0,2.6
Voyvodina/North,Rest,2006,Real Estate Earnings,981.0,3.2
Voyvodina/North,Rest,2006,Presents,502.0,1.6
Voyvodina/North,Rest,2006,Investment Interest,2154.0,7.0
Voyvodina/North,Rest,2006,Rest,1173.0,3.8
Voyvodina/North,Rest,2006,Earnings in Labor,3407.0,11.1
Voyvodina/North,Rest,2006,Other Earnings in Labor,23.0,0.1
Central and West,Total,2006,Total Earnings,32859.0,100.0
Central and West,Total,2006,Earnings in Currency,29227.0,88.9
Central and West,Total,2006,Earnings from Orthodox Work Relations a.k.a. Job,13691.0,41.6
Central and West,Total,2006,Earnings from Unorthodox Work Relations,585.0,1.8
Central and West,Total,2006,Pensions,7490.0,22.7
Central and West,Total,2006,Social Sequrity Earnings,656.0,2.0
Central and West,Total,2006,"Earnings from Agricultural, Hunting and Fishing Actions",1934.0,5.9
Central and West,Total,2006,Foreign Earnings,688.0,2.1
Central and West,Total,2006,Real Estate Earnings,455.0,1.4
Central and West,Total,2006,Presents,522.0,1.6
Central and West,Total,2006,Investment Interest,1116.0,3.4
Central and West,Total,2006,Rest,2090.0,6.4
Central and West,Total,2006,Earnings in Labor,3632.0,11.1
Central and West,Total,2006,Other Earnings in Labor,29.0,0.1
Central and West,City,2006,Total Earnings,33333.0,100.0
Central and West,City,2006,Earnings in Currency,32948.0,98.8
Central and West,City,2006,Earnings from Orthodox Work Relations a.k.a. Job,17036.0,51.0
Central and West,City,2006,Earnings from Unorthodox Work Relations,658.0,2.0
Central and West,City,2006,Pensions,9024.0,27.1
Central and West,City,2006,Social Sequrity Earnings,784.0,2.4
Central and West,City,2006,"Earnings from Agricultural, Hunting and Fishing Actions",209.0,0.6
Central and West,City,2006,Foreign Earnings,691.0,2.1
Central and West,City,2006,Real Estate Earnings,609.0,1.8
Central and West,City,2006,Presents,632.0,1.9
Central and West,City,2006,Investment Interest,1226.0,3.7
Central and West,City,2006,Rest,2079.0,6.2
Central and West,City,2006,Earnings in Labor,385.0,1.2
Central and West,City,2006,Other Earnings in Labor,24.0,0.1
Central and West,Rest,2006,Total Earnings,32441.0,100.0
Central and West,Rest,2006,Earnings in Currency,25921.0,79.9
Central and West,Rest,2006,Earnings from Orthodox Work Relations a.k.a. Job,10717.0,33.0
Central and West,Rest,2006,Earnings from Unorthodox Work Relations,520.0,1.6
Central and West,Rest,2006,Pensions,6126.0,18.9
Central and West,Rest,2006,Social Sequrity Earnings,543.0,1.7
Central and West,Rest,2006,"Earnings from Agricultural, Hunting and Fishing Actions",3468.0,10.7
Central and West,Rest,2006,Foreign Earnings,685.0,2.1
Central and West,Rest,2006,Real Estate Earnings,318.0,1.0
Central and West,Rest,2006,Presents,424.0,1.3
Central and West,Rest,2006,Investment Interest,1020.0,3.1
Central and West,Rest,2006,Rest,2100.0,6.5
Central and West,Rest,2006,Earnings in Labor,6520.0,20.1
Central and West,Rest,2006,Other Earnings in Labor,34.0,0.1
South and East,Total,2006,Total Earnings,31890.0,100.0
South and East,Total,2006,Earnings in Currency,29280.0,91.8
South and East,Total,2006,Earnings from Orthodox Work Relations a.k.a. Job,13518.0,42.4
South and East,Total,2006,Earnings from Unorthodox Work Relations,1189.0,3.7
South and East,Total,2006,Pensions,7882.0,24.7
South and East,Total,2006,Social Sequrity Earnings,671.0,2.1
South and East,Total,2006,"Earnings from Agricultural, Hunting and Fishing Actions",1013.0,3.2
South and East,Total,2006,Foreign Earnings,754.0,2.4
South and East,Total,2006,Real Estate Earnings,667.0,2.1
South and East,Total,2006,Presents,186.0,0.6
South and East,Total,2006,Investment Interest,902.0,2.8
South and East,Total,2006,Rest,2498.0,7.8
South and East,Total,2006,Earnings in Labor,2610.0,8.2
South and East,Total,2006,Other Earnings in Labor,45.0,0.1
South and East,City,2006,Total Earnings,34267.0,100.0
South and East,City,2006,Earnings in Currency,33594.0,98.0
South and East,City,2006,Earnings from Orthodox Work Relations a.k.a. Job,17192.0,50.3
South and East,City,2006,Earnings from Unorthodox Work Relations,975.0,2.8
South and East,City,2006,Pensions,8894.0,26.0
South and East,City,2006,Social Sequrity Earnings,759.0,2.2
South and East,City,2006,"Earnings from Agricultural, Hunting and Fishing Actions",42.0,0.1
South and East,City,2006,Foreign Earnings,657.0,1.9
South and East,City,2006,Real Estate Earnings,1078.0,3.1
South and East,City,2006,Presents,272.0,0.8
South and East,City,2006,Investment Interest,1385.0,4.0
South and East,City,2006,Rest,2340.0,6.8
South and East,City,2006,Earnings in Labor,673.0,2.0
South and East,City,2006,Other Earnings in Labor,54.0,0.2
South and East,Rest,2006,Total Earnings,29520.0,100.0
South and East,Rest,2006,Earnings in Currency,24981.0,84.6
South and East,Rest,2006,Earnings from Orthodox Work Relations a.k.a. Job,9855.0,33.4
South and East,Rest,2006,Earnings from Unorthodox Work Relations,1402.0,4.7
South and East,Rest,2006,Pensions,6874.0,23.3
South and East,Rest,2006,Social Sequrity Earnings,585.0,2.0
South and East,Rest,2006,"Earnings from Agricultural, Hunting and Fishing Actions",1981.0,6.7
South and East,Rest,2006,Foreign Earnings,852.0,2.9
South and East,Rest,2006,Real Estate Earnings,257.0,0.9
South and East,Rest,2006,Presents,100.0,0.3
South and East,Rest,2006,Investment Interest,421.0,1.4
South and East,Rest,2006,Rest,2654.0,9.0
South and East,Rest,2006,Earnings in Labor,4539.0,15.4
South and East,Rest,2006,Other Earnings in Labor,37.0,0.1
State,Total,2007,Total Earnings,39170.0,100.0
State,Total,2007,Earnings in Currency,36769.0,93.9
State,Total,2007,Earnings from Orthodox Work Relations a.k.a. Job,18033.0,46.1
State,Total,2007,Earnings from Unorthodox Work Relations,1162.0,3.0
State,Total,2007,Pensions,10643.0,27.2
State,Total,2007,Social Sequrity Earnings,765.0,2.0
State,Total,2007,"Earnings from Agricultural, Hunting and Fishing Actions",1184.0,3.0
State,Total,2007,Foreign Earnings,549.0,1.4
State,Total,2007,Real Estate Earnings,947.0,2.4
State,Total,2007,Presents,327.0,0.8
State,Total,2007,Investment Interest,1272.0,3.2
State,Total,2007,Rest,1887.0,4.8
State,Total,2007,Earnings in Labor,2401.0,6.1
State,Total,2007,Other Earnings in Labor,26.0,0.1
State,City,2007,Total Earnings,42295.0,100.0
State,City,2007,Earnings in Currency,41806.0,98.8
State,City,2007,Earnings from Orthodox Work Relations a.k.a. Job,22434.0,53.0
State,City,2007,Earnings from Unorthodox Work Relations,1163.0,2.7
State,City,2007,Pensions,12487.0,29.5
State,City,2007,Social Sequrity Earnings,760.0,1.8
State,City,2007,"Earnings from Agricultural, Hunting and Fishing Actions",367.0,0.9
State,City,2007,Foreign Earnings,377.0,0.9
State,City,2007,Real Estate Earnings,817.0,1.9
State,City,2007,Presents,367.0,0.9
State,City,2007,Investment Interest,1530.0,3.6
State,City,2007,Rest,1504.0,3.6
State,City,2007,Earnings in Labor,489.0,1.2
State,City,2007,Other Earnings in Labor,21.0,0.0
State,Rest,2007,Total Earnings,34678.0,100.0
State,Rest,2007,Earnings in Currency,29534.0,85.2
State,Rest,2007,Earnings from Orthodox Work Relations a.k.a. Job,11714.0,33.8
State,Rest,2007,Earnings from Unorthodox Work Relations,1161.0,3.3
State,Rest,2007,Pensions,7994.0,23.1
State,Rest,2007,Social Sequrity Earnings,771.0,2.2
State,Rest,2007,"Earnings from Agricultural, Hunting and Fishing Actions",2357.0,6.8
State,Rest,2007,Foreign Earnings,795.0,2.3
State,Rest,2007,Real Estate Earnings,1129.0,3.3
State,Rest,2007,Presents,271.0,0.8
State,Rest,2007,Investment Interest,903.0,2.6
State,Rest,2007,Rest,2439.0,7.0
State,Rest,2007,Earnings in Labor,5144.0,14.8
State,Rest,2007,Other Earnings in Labor,33.0,0.1
Belgrade,Total,2007,Total Earnings,49720.0,100.0
Belgrade,Total,2007,Earnings in Currency,48761.0,98.1
Belgrade,Total,2007,Earnings from Orthodox Work Relations a.k.a. Job,27409.0,55.2
Belgrade,Total,2007,Earnings from Unorthodox Work Relations,1725.0,3.5
Belgrade,Total,2007,Pensions,14135.0,28.4
Belgrade,Total,2007,Social Sequrity Earnings,809.0,1.6
Belgrade,Total,2007,"Earnings from Agricultural, Hunting and Fishing Actions",141.0,0.3
Belgrade,Total,2007,Foreign Earnings,363.0,0.7
Belgrade,Total,2007,Real Estate Earnings,670.0,1.3
Belgrade,Total,2007,Presents,622.0,1.3
Belgrade,Total,2007,Investment Interest,1241.0,2.5
Belgrade,Total,2007,Rest,1646.0,3.3
Belgrade,Total,2007,Earnings in Labor,959.0,1.9
Belgrade,Total,2007,Other Earnings in Labor,9.0,0.0
Belgrade,City,2007,Total Earnings,50453.0,100.0
Belgrade,City,2007,Earnings in Currency,50217.0,99.5
Belgrade,City,2007,Earnings from Orthodox Work Relations a.k.a. Job,28813.0,57.1
Belgrade,City,2007,Earnings from Unorthodox Work Relations,1636.0,3.2
Belgrade,City,2007,Pensions,15063.0,29.9
Belgrade,City,2007,Social Sequrity Earnings,716.0,1.4
Belgrade,City,2007,"Earnings from Agricultural, Hunting and Fishing Actions",17.0,0.0
Belgrade,City,2007,Foreign Earnings,363.0,0.7
Belgrade,City,2007,Real Estate Earnings,552.0,1.1
Belgrade,City,2007,Presents,581.0,1.2
Belgrade,City,2007,Investment Interest,995.0,2.0
Belgrade,City,2007,Rest,1481.0,2.9
Belgrade,City,2007,Earnings in Labor,236.0,0.5
Belgrade,City,2007,Other Earnings in Labor,7.0,0.0
Belgrade,Rest,2007,Total Earnings,46032.0,100.0
Belgrade,Rest,2007,Earnings in Currency,41453.0,90.1
Belgrade,Rest,2007,Earnings from Orthodox Work Relations a.k.a. Job,20349.0,44.1
Belgrade,Rest,2007,Earnings from Unorthodox Work Relations,2177.0,4.7
Belgrade,Rest,2007,Pensions,9470.0,20.6
Belgrade,Rest,2007,Social Sequrity Earnings,1281.0,2.8
Belgrade,Rest,2007,"Earnings from Agricultural, Hunting and Fishing Actions",763.0,1.7
Belgrade,Rest,2007,Foreign Earnings,363.0,0.8
Belgrade,Rest,2007,Real Estate Earnings,1266.0,2.8
Belgrade,Rest,2007,Presents,830.0,1.8
Belgrade,Rest,2007,Investment Interest,2471.0,5.4
Belgrade,Rest,2007,Rest,2483.0,5.4
Belgrade,Rest,2007,Earnings in Labor,4579.0,9.9
