Region,SettlementType,Year,TypeOfIncome,Amount(RSD),StructuralPercentage
State,Rest,2008,"Earnings from Agricultural, Hunting and Fishing Actions",3280.0,8.3
State,Rest,2008,Foreign Earnings,530.0,1.3
State,Rest,2008,Real Estate Earnings,177.0,0.5
State,Rest,2008,Presents,358.0,0.9
State,Rest,2008,Investment Interest,202.0,0.5
State,Rest,2008,Rest,2865.0,7.3
State,Rest,2008,Earnings in Labor,5072.0,12.9
State,Rest,2008,Other Earnings in Labor,65.0,0.2
Belgrade,Total,2008,Total Earnings,53424.0,100.0
Belgrade,Total,2008,Earnings in Currency,52942.0,99.1
Belgrade,Total,2008,Earnings from Orthodox Work Relations a.k.a. Job,30720.0,57.6
Belgrade,Total,2008,Earnings from Unorthodox Work Relations,1128.0,2.1
Belgrade,Total,2008,Pensions,16339.0,30.6
Belgrade,Total,2008,Social Sequrity Earnings,622.0,1.2
Belgrade,Total,2008,"Earnings from Agricultural, Hunting and Fishing Actions",501.0,0.9
Belgrade,Total,2008,Foreign Earnings,334.0,0.6
Belgrade,Total,2008,Real Estate Earnings,187.0,0.4
Belgrade,Total,2008,Presents,666.0,1.2
Belgrade,Total,2008,Investment Interest,825.0,1.5
Belgrade,Total,2008,Rest,1620.0,3.0
Belgrade,Total,2008,Earnings in Labor,482.0,0.9
Belgrade,Total,2008,Other Earnings in Labor,20.0,0.0
Belgrade,City,2008,Total Earnings,52938.0,100.0
Belgrade,City,2008,Earnings in Currency,52810.0,99.8
Belgrade,City,2008,Earnings from Orthodox Work Relations a.k.a. Job,31659.0,59.8
Belgrade,City,2008,Earnings from Unorthodox Work Relations,1073.0,2.0
Belgrade,City,2008,Pensions,16865.0,31.9
Belgrade,City,2008,Social Sequrity Earnings,471.0,0.9
Belgrade,City,2008,"Earnings from Agricultural, Hunting and Fishing Actions",349.0,0.7
Belgrade,City,2008,Foreign Earnings,354.0,0.7
Belgrade,City,2008,Real Estate Earnings,159.0,0.3
Belgrade,City,2008,Presents,554.0,1.0
Belgrade,City,2008,Investment Interest,510.0,1.0
Belgrade,City,2008,Rest,816.0,1.5
Belgrade,City,2008,Earnings in Labor,128.0,0.2
Belgrade,City,2008,Other Earnings in Labor,24.0,0.0
Belgrade,Rest,2008,Total Earnings,53994.0,100.0
Belgrade,Rest,2008,Earnings in Currency,51705.0,95.8
Belgrade,Rest,2008,Earnings from Orthodox Work Relations a.k.a. Job,25997.0,48.1
Belgrade,Rest,2008,Earnings from Unorthodox Work Relations,1402.0,2.6
Belgrade,Rest,2008,Pensions,13694.0,25.4
Belgrade,Rest,2008,Social Sequrity Earnings,1389.0,2.6
Belgrade,Rest,2008,"Earnings from Agricultural, Hunting and Fishing Actions",1264.0,2.3
Belgrade,Rest,2008,Foreign Earnings,231.0,0.4
Belgrade,Rest,2008,Real Estate Earnings,327.0,0.6
Belgrade,Rest,2008,Presents,1227.0,2.3
Belgrade,Rest,2008,Investment Interest,514.0,1.0
Belgrade,Rest,2008,Rest,5660.0,10.5
Belgrade,Rest,2008,Earnings in Labor,2289.0,4.2
Belgrade,Rest,2008,Other Earnings in Labor,0.0,0.0
Voyvodina/North,Total,2008,Total Earnings,41949.0,100.0
Voyvodina/North,Total,2008,Earnings in Currency,39992.0,95.3
Voyvodina/North,Total,2008,Earnings from Orthodox Work Relations a.k.a. Job,20475.0,48.7
Voyvodina/North,Total,2008,Earnings from Unorthodox Work Relations,1600.0,3.8
Voyvodina/North,Total,2008,Pensions,11035.0,26.3
Voyvodina/North,Total,2008,Social Sequrity Earnings,992.0,2.4
Voyvodina/North,Total,2008,"Earnings from Agricultural, Hunting and Fishing Actions",3270.0,7.8
Voyvodina/North,Total,2008,Foreign Earnings,473.0,1.1
Voyvodina/North,Total,2008,Real Estate Earnings,320.0,0.8
Voyvodina/North,Total,2008,Presents,358.0,0.9
Voyvodina/North,Total,2008,Investment Interest,643.0,1.5
Voyvodina/North,Total,2008,Rest,826.0,2.0
Voyvodina/North,Total,2008,Earnings in Labor,1957.0,4.7
Voyvodina/North,Total,2008,Other Earnings in Labor,20.0,0.0
Voyvodina/North,City,2008,Total Earnings,43584.0,100.0
Voyvodina/North,City,2008,Earnings in Currency,42822.0,98.3
Voyvodina/North,City,2008,Earnings from Orthodox Work Relations a.k.a. Job,24067.0,55.4
Voyvodina/North,City,2008,Earnings from Unorthodox Work Relations,1283.0,2.9
Voyvodina/North,City,2008,Pensions,12752.0,29.3
Voyvodina/North,City,2008,Social Sequrity Earnings,955.0,2.2
Voyvodina/North,City,2008,"Earnings from Agricultural, Hunting and Fishing Actions",960.0,2.2
Voyvodina/North,City,2008,Foreign Earnings,611.0,1.4
Voyvodina/North,City,2008,Real Estate Earnings,400.0,0.9
Voyvodina/North,City,2008,Presents,449.0,1.0
Voyvodina/North,City,2008,Investment Interest,759.0,1.7
Voyvodina/North,City,2008,Rest,586.0,1.3
Voyvodina/North,City,2008,Earnings in Labor,762.0,1.7
Voyvodina/North,City,2008,Other Earnings in Labor,3.0,0.0
Voyvodina/North,Rest,2008,Total Earnings,39392.0,100.0
Voyvodina/North,Rest,2008,Earnings in Currency,35759.0,90.8
Voyvodina/North,Rest,2008,Earnings from Orthodox Work Relations a.k.a. Job,15544.0,39.6
Voyvodina/North,Rest,2008,Earnings from Unorthodox Work Relations,2034.0,5.2
Voyvodina/North,Rest,2008,Pensions,8676.0,22.0
Voyvodina/North,Rest,2008,Social Sequrity Earnings,1041.0,2.6
Voyvodina/North,Rest,2008,"Earnings from Agricultural, Hunting and Fishing Actions",6443.0,16.4
Voyvodina/North,Rest,2008,Foreign Earnings,285.0,0.7
Voyvodina/North,Rest,2008,Real Estate Earnings,210.0,0.5
Voyvodina/North,Rest,2008,Presents,234.0,0.6
Voyvodina/North,Rest,2008,Investment Interest,136.0,0.3
Voyvodina/North,Rest,2008,Rest,1156.0,2.9
Voyvodina/North,Rest,2008,Earnings in Labor,3633.0,9.2
Voyvodina/North,Rest,2008,Other Earnings in Labor,44.0,0.1
Central and West,Total,2008,Total Earnings,40628.0,100.0
Central and West,Total,2008,Earnings in Currency,36897.0,90.8
Central and West,Total,2008,Earnings from Orthodox Work Relations a.k.a. Job,20143.0,49.7
Central and West,Total,2008,Earnings from Unorthodox Work Relations,544.0,1.3
Central and West,Total,2008,Pensions,10320.0,25.5
Central and West,Total,2008,Social Sequrity Earnings,629.0,1.5
Central and West,Total,2008,"Earnings from Agricultural, Hunting and Fishing Actions",1703.0,4.2
Central and West,Total,2008,Foreign Earnings,289.0,0.7
Central and West,Total,2008,Real Estate Earnings,223.0,0.5
Central and West,Total,2008,Presents,376.0,0.9
Central and West,Total,2008,Investment Interest,623.0,1.5
Central and West,Total,2008,Rest,2047.0,5.0
Central and West,Total,2008,Earnings in Labor,3731.0,9.2
Central and West,Total,2008,Other Earnings in Labor,35.0,0.1
Central and West,City,2008,Total Earnings,43653.0,100.0
Central and West,City,2008,Earnings in Currency,43294.0,99.2
Central and West,City,2008,Earnings from Orthodox Work Relations a.k.a. Job,26061.0,59.7
Central and West,City,2008,Earnings from Unorthodox Work Relations,581.0,1.3
Central and West,City,2008,Pensions,12329.0,28.2
Central and West,City,2008,Social Sequrity Earnings,617.0,1.4
Central and West,City,2008,"Earnings from Agricultural, Hunting and Fishing Actions",116.0,0.3
Central and West,City,2008,Foreign Earnings,399.0,0.9
Central and West,City,2008,Real Estate Earnings,510.0,1.2
Central and West,City,2008,Presents,372.0,0.9
Central and West,City,2008,Investment Interest,740.0,1.7
Central and West,City,2008,Rest,1569.0,3.6
Central and West,City,2008,Earnings in Labor,359.0,0.8
Central and West,City,2008,Other Earnings in Labor,28.0,0.1
Central and West,Rest,2008,Total Earnings,38049.0,100.0
Central and West,Rest,2008,Earnings in Currency,31320.0,82.3
Central and West,Rest,2008,Earnings from Orthodox Work Relations a.k.a. Job,14880.0,39.1
Central and West,Rest,2008,Earnings from Unorthodox Work Relations,512.0,1.3
Central and West,Rest,2008,Pensions,8533.0,22.4
Central and West,Rest,2008,Social Sequrity Earnings,640.0,1.7
Central and West,Rest,2008,"Earnings from Agricultural, Hunting and Fishing Actions",3114.0,8.2
Central and West,Rest,2008,Foreign Earnings,190.0,0.5
Central and West,Rest,2008,Real Estate Earnings,79.0,0.2
Central and West,Rest,2008,Presents,380.0,1.0
Central and West,Rest,2008,Investment Interest,519.0,1.4
Central and West,Rest,2008,Rest,2473.0,6.5
Central and West,Rest,2008,Earnings in Labor,6729.0,17.7
Central and West,Rest,2008,Other Earnings in Labor,42.0,0.1
South and East,Total,2008,Total Earnings,39060.0,100.0
South and East,Total,2008,Earnings in Currency,36155.0,92.6
South and East,Total,2008,Earnings from Orthodox Work Relations a.k.a. Job,17115.0,43.8
South and East,Total,2008,Earnings from Unorthodox Work Relations,1663.0,4.3
South and East,Total,2008,Pensions,10645.0,27.3
South and East,Total,2008,Social Sequrity Earnings,682.0,1.7
South and East,Total,2008,"Earnings from Agricultural, Hunting and Fishing Actions",795.0,2.0
South and East,Total,2008,Foreign Earnings,1162.0,3.0
South and East,Total,2008,Real Estate Earnings,215.0,0.6
South and East,Total,2008,Presents,291.0,0.7
South and East,Total,2008,Investment Interest,312.0,0.8
South and East,Total,2008,Rest,3275.0,8.4
South and East,Total,2008,Earnings in Labor,2905.0,7.4
South and East,Total,2008,Other Earnings in Labor,80.0,0.2
South and East,City,2008,Total Earnings,41873.0,100.0
South and East,City,2008,Earnings in Currency,41448.0,99.0
South and East,City,2008,Earnings from Orthodox Work Relations a.k.a. Job,22664.0,54.1
South and East,City,2008,Earnings from Unorthodox Work Relations,1653.0,3.9
South and East,City,2008,Pensions,11080.0,26.5
South and East,City,2008,Social Sequrity Earnings,896.0,2.1
South and East,City,2008,"Earnings from Agricultural, Hunting and Fishing Actions",714.0,1.7
South and East,City,2008,Foreign Earnings,1005.0,2.4
South and East,City,2008,Real Estate Earnings,279.0,0.7
South and East,City,2008,Presents,413.0,1.0
South and East,City,2008,Investment Interest,407.0,1.0
South and East,City,2008,Rest,2337.0,5.6
South and East,City,2008,Earnings in Labor,425.0,1.0
South and East,City,2008,Other Earnings in Labor,24.0,0.1
South and East,Rest,2008,Total Earnings,37394.0,100.0
South and East,Rest,2008,Earnings in Currency,32013.0,85.6
South and East,Rest,2008,Earnings from Orthodox Work Relations a.k.a. Job,11581.0,30.9
South and East,Rest,2008,Earnings from Unorthodox Work Relations,1674.0,4.5
South and East,Rest,2008,Pensions,10212.0,27.3
South and East,Rest,2008,Social Sequrity Earnings,470.0,1.3
South and East,Rest,2008,"Earnings from Agricultural, Hunting and Fishing Actions",877.0,2.3
South and East,Rest,2008,Foreign Earnings,1319.0,3.5
South and East,Rest,2008,Real Estate Earnings,1280.0,3.4
South and East,Rest,2008,Presents,170.0,0.5
South and East,Rest,2008,Investment Interest,219.0,0.6
South and East,Rest,2008,Rest,4211.0,11.3
South and East,Rest,2008,Earnings in Labor,5381.0,14.4
South and East,Rest,2008,Other Earnings in Labor,137.0,0.4
State,Total,2009,Total Earnings,47639.0,100.0
State,Total,2009,Earnings in Currency,45080.0,94.6
State,Total,2009,Earnings from Orthodox Work Relations a.k.a. Job,21824.0,45.7
State,Total,2009,Earnings from Unorthodox Work Relations,1502.0,3.2
State,Total,2009,Pensions,14797.0,31.0
State,Total,2009,Social Sequrity Earnings,848.0,1.8
State,Total,2009,"Earnings from Agricultural, Hunting and Fishing Actions",1554.0,3.3
State,Total,2009,Foreign Earnings,702.0,1.5
State,Total,2009,Real Estate Earnings,240.0,0.5
State,Total,2009,Presents,609.0,1.3
State,Total,2009,Investment Interest,637.0,1.3
State,Total,2009,Rest,2367.0,5.0
State,Total,2009,Earnings in Labor,2559.0,5.4
State,Total,2009,Other Earnings in Labor,37.0,0.1
State,City,2009,Total Earnings,50326.0,100.0
State,City,2009,Earnings in Currency,49841.0,99.0
State,City,2009,Earnings from Orthodox Work Relations a.k.a. Job,25987.0,51.7
State,City,2009,Earnings from Unorthodox Work Relations,1407.0,2.8
State,City,2009,Pensions,17001.0,33.8
State,City,2009,Social Sequrity Earnings,894.0,1.8
State,City,2009,"Earnings from Agricultural, Hunting and Fishing Actions",550.0,1.1
State,City,2009,Foreign Earnings,567.0,1.1
State,City,2009,Real Estate Earnings,305.0,0.6
State,City,2009,Presents,676.0,1.3
State,City,2009,Investment Interest,722.0,1.4
State,City,2009,Rest,1732.0,3.4
State,City,2009,Earnings in Labor,485.0,1.0
State,City,2009,Other Earnings in Labor,22.0,0.1
State,Rest,2009,Total Earnings,43785.0,100.0
State,Rest,2009,Earnings in Currency,38242.0,87.3
State,Rest,2009,Earnings from Orthodox Work Relations a.k.a. Job,15847.0,36.2
State,Rest,2009,Earnings from Unorthodox Work Relations,1640.0,3.7
State,Rest,2009,Pensions,11631.0,26.6
State,Rest,2009,Social Sequrity Earnings,779.0,1.8
State,Rest,2009,"Earnings from Agricultural, Hunting and Fishing Actions",2995.0,6.8
State,Rest,2009,Foreign Earnings,895.0,2.0
State,Rest,2009,Real Estate Earnings,148.0,0.3
State,Rest,2009,Presents,512.0,1.2
State,Rest,2009,Investment Interest,515.0,1.2
State,Rest,2009,Rest,3280.0,7.5
State,Rest,2009,Earnings in Labor,5543.0,12.7
State,Rest,2009,Other Earnings in Labor,60.0,0.1
Belgrade,Total,2009,Total Earnings,56084.0,100.0
Belgrade,Total,2009,Earnings in Currency,55499.0,99.0
Belgrade,Total,2009,Earnings from Orthodox Work Relations a.k.a. Job,29724.0,53.1
Belgrade,Total,2009,Earnings from Unorthodox Work Relations,1489.0,2.7
Belgrade,Total,2009,Pensions,19630.0,35.0
Belgrade,Total,2009,Social Sequrity Earnings,691.0,1.2
Belgrade,Total,2009,"Earnings from Agricultural, Hunting and Fishing Actions",181.0,0.3
Belgrade,Total,2009,Foreign Earnings,341.0,0.6
Belgrade,Total,2009,Real Estate Earnings,168.0,0.3
Belgrade,Total,2009,Presents,1241.0,2.2
Belgrade,Total,2009,Investment Interest,570.0,1.0
Belgrade,Total,2009,Rest,1464.0,2.6
Belgrade,Total,2009,Earnings in Labor,585.0,1.0
Belgrade,Total,2009,Other Earnings in Labor,94.0,0.2
Belgrade,City,2009,Total Earnings,55788.0,100.0
Belgrade,City,2009,Earnings in Currency,55688.0,99.8
Belgrade,City,2009,Earnings from Orthodox Work Relations a.k.a. Job,30089.0,54.0
Belgrade,City,2009,Earnings from Unorthodox Work Relations,1217.0,2.2
Belgrade,City,2009,Pensions,20544.0,36.8
Belgrade,City,2009,Social Sequrity Earnings,715.0,1.3
Belgrade,City,2009,"Earnings from Agricultural, Hunting and Fishing Actions",14.0,0.0
Belgrade,City,2009,Foreign Earnings,347.0,0.6
Belgrade,City,2009,Real Estate Earnings,190.0,0.3
Belgrade,City,2009,Presents,1024.0,1.8
Belgrade,City,2009,Investment Interest,484.0,0.9
Belgrade,City,2009,Rest,1064.0,1.9
Belgrade,City,2009,Earnings in Labor,100.0,0.2
Belgrade,City,2009,Other Earnings in Labor,38.0,0.1
Belgrade,Rest,2009,Total Earnings,57334.0,100.0
Belgrade,Rest,2009,Earnings in Currency,54301.0,94.7
Belgrade,Rest,2009,Earnings from Orthodox Work Relations a.k.a. Job,27885.0,48.5
Belgrade,Rest,2009,Earnings from Unorthodox Work Relations,2855.0,5.0
Belgrade,Rest,2009,Pensions,15036.0,26.2
Belgrade,Rest,2009,Social Sequrity Earnings,574.0,1.0
Belgrade,Rest,2009,"Earnings from Agricultural, Hunting and Fishing Actions",775.0,1.4
Belgrade,Rest,2009,Foreign Earnings,312.0,0.5
Belgrade,Rest,2009,Real Estate Earnings,53.0,0.1
Belgrade,Rest,2009,Presents,2336.0,4.1
Belgrade,Rest,2009,Investment Interest,1004.0,1.8
Belgrade,Rest,2009,Rest,3471.0,6.1
Belgrade,Rest,2009,Earnings in Labor,3033.0,5.3
Belgrade,Rest,2009,Other Earnings in Labor,379.0,0.7
Voyvodina/North,Total,2009,Total Earnings,47654.0,100.0
Voyvodina/North,Total,2009,Earnings in Currency,45276.0,95.0
Voyvodina/North,Total,2009,Earnings from Orthodox Work Relations a.k.a. Job,21117.0,44.3
Voyvodina/North,Total,2009,Earnings from Unorthodox Work Relations,2348.0,4.9
Voyvodina/North,Total,2009,Pensions,14320.0,30.0
Voyvodina/North,Total,2009,Social Sequrity Earnings,1168.0,2.5
Voyvodina/North,Total,2009,"Earnings from Agricultural, Hunting and Fishing Actions",2915.0,6.1
Voyvodina/North,Total,2009,Foreign Earnings,646.0,1.4
Voyvodina/North,Total,2009,Real Estate Earnings,446.0,0.9
Voyvodina/North,Total,2009,Presents,527.0,1.1
Voyvodina/North,Total,2009,Investment Interest,891.0,1.9
Voyvodina/North,Total,2009,Rest,898.0,1.9
Voyvodina/North,Total,2009,Earnings in Labor,2378.0,5.0
Voyvodina/North,Total,2009,Other Earnings in Labor,27.0,0.1
Voyvodina/North,City,2009,Total Earnings,50641.0,100.0
Voyvodina/North,City,2009,Earnings in Currency,49686.0,98.1
Voyvodina/North,City,2009,Earnings from Orthodox Work Relations a.k.a. Job,24219.0,47.9
Voyvodina/North,City,2009,Earnings from Unorthodox Work Relations,2450.0,4.8
Voyvodina/North,City,2009,Pensions,16813.0,33.2
Voyvodina/North,City,2009,Social Sequrity Earnings,1215.0,2.4
Voyvodina/North,City,2009,"Earnings from Agricultural, Hunting and Fishing Actions",1562.0,3.1
Voyvodina/North,City,2009,Foreign Earnings,552.0,1.1
Voyvodina/North,City,2009,Real Estate Earnings,515.0,1.0
Voyvodina/North,City,2009,Presents,613.0,1.2
Voyvodina/North,City,2009,Investment Interest,1032.0,2.0
Voyvodina/North,City,2009,Rest,715.0,1.4
Voyvodina/North,City,2009,Earnings in Labor,955.0,1.9
Voyvodina/North,City,2009,Other Earnings in Labor,9.0,0.0
Voyvodina/North,Rest,2009,Total Earnings,43556.0,100.0
Voyvodina/North,Rest,2009,Earnings in Currency,39222.0,90.0
Voyvodina/North,Rest,2009,Earnings from Orthodox Work Relations a.k.a. Job,16858.0,38.7
Voyvodina/North,Rest,2009,Earnings from Unorthodox Work Relations,2210.0,5.1
Voyvodina/North,Rest,2009,Pensions,10897.0,25.0
Voyvodina/North,Rest,2009,Social Sequrity Earnings,1103.0,2.5
Voyvodina/North,Rest,2009,"Earnings from Agricultural, Hunting and Fishing Actions",4772.0,11.0
Voyvodina/North,Rest,2009,Foreign Earnings,774.0,1.8
Voyvodina/North,Rest,2009,Real Estate Earnings,353.0,0.8
Voyvodina/North,Rest,2009,Presents,408.0,0.9
Voyvodina/North,Rest,2009,Investment Interest,698.0,1.6
Voyvodina/North,Rest,2009,Rest,1149.0,2.6
Voyvodina/North,Rest,2009,Earnings in Labor,4334.0,10.0
Voyvodina/North,Rest,2009,Other Earnings in Labor,52.0,0.1
Central and West,Total,2009,Total Earnings,44791.0,100.0
Central and West,Total,2009,Earnings in Currency,40858.0,91.2
Central and West,Total,2009,Earnings from Orthodox Work Relations a.k.a. Job,20485.0,45.7
Central and West,Total,2009,Earnings from Unorthodox Work Relations,859.0,1.9
Central and West,Total,2009,Pensions,12424.0,27.7
Central and West,Total,2009,Social Sequrity Earnings,692.0,1.5
Central and West,Total,2009,"Earnings from Agricultural, Hunting and Fishing Actions",1323.0,3.0
Central and West,Total,2009,Foreign Earnings,785.0,1.8
Central and West,Total,2009,Real Estate Earnings,216.0,0.5
Central and West,Total,2009,Presents,561.0,1.3
Central and West,Total,2009,Investment Interest,683.0,1.5
Central and West,Total,2009,Rest,2830.0,6.3
Central and West,Total,2009,Earnings in Labor,3933.0,8.8
Central and West,Total,2009,Other Earnings in Labor,2.0,0.0
Central and West,City,2009,Total Earnings,48667.0,100.0
Central and West,City,2009,Earnings in Currency,48322.0,99.3
Central and West,City,2009,Earnings from Orthodox Work Relations a.k.a. Job,26144.0,53.7
Central and West,City,2009,Earnings from Unorthodox Work Relations,635.0,1.3
Central and West,City,2009,Pensions,14581.0,30.0
Central and West,City,2009,Social Sequrity Earnings,808.0,1.7
Central and West,City,2009,"Earnings from Agricultural, Hunting and Fishing Actions",425.0,0.9
Central and West,City,2009,Foreign Earnings,847.0,1.7
Central and West,City,2009,Real Estate Earnings,986.0,2.0
Central and West,City,2009,Presents,686.0,1.4
Central and West,City,2009,Investment Interest,841.0,1.7
Central and West,City,2009,Rest,2369.0,4.9
Central and West,City,2009,Earnings in Labor,345.0,0.7
Central and West,City,2009,Other Earnings in Labor,0.0,0.0
Central and West,Rest,2009,Total Earnings,43787.0,100.0
Central and West,Rest,2009,Earnings in Currency,36663.0,83.7
Central and West,Rest,2009,Earnings from Orthodox Work Relations a.k.a. Job,15452.0,35.2
Central and West,Rest,2009,Earnings from Unorthodox Work Relations,1058.0,2.4
Central and West,Rest,2009,Pensions,10505.0,24.0
Central and West,Rest,2009,Social Sequrity Earnings,592.0,1.4
Central and West,Rest,2009,"Earnings from Agricultural, Hunting and Fishing Actions",3804.0,8.7
Central and West,Rest,2009,Foreign Earnings,730.0,1.7
Central and West,Rest,2009,Real Estate Earnings,289.0,0.7
Central and West,Rest,2009,Presents,451.0,1.0
Central and West,Rest,2009,Investment Interest,542.0,1.2
Central and West,Rest,2009,Rest,3240.0,7.4
Central and West,Rest,2009,Earnings in Labor,7124.0,16.3
Central and West,Rest,2009,Other Earnings in Labor,3.0,0.0
South and East,Total,2009,Total Earnings,43277.0,100.0
South and East,Total,2009,Earnings in Currency,40151.0,92.8
South and East,Total,2009,Earnings from Orthodox Work Relations a.k.a. Job,16341.0,37.7
South and East,Total,2009,Earnings from Unorthodox Work Relations,1246.0,2.9
South and East,Total,2009,Pensions,13372.0,30.9
South and East,Total,2009,Social Sequrity Earnings,793.0,1.8
South and East,Total,2009,"Earnings from Agricultural, Hunting and Fishing Actions",2275.0,5.3
South and East,Total,2009,Foreign Earnings,1034.0,2.4
South and East,Total,2009,Real Estate Earnings,88.0,0.2
South and East,Total,2009,Presents,130.0,0.3
South and East,Total,2009,Investment Interest,334.0,0.8
South and East,Total,2009,Rest,4538.0,10.5
South and East,Total,2009,Earnings in Labor,3126.0,7.2
South and East,Total,2009,Other Earnings in Labor,35.0,0.1
South and East,City,2009,Total Earnings,43274.0,100.0
South and East,City,2009,Earnings in Currency,42660.0,98.6
South and East,City,2009,Earnings from Orthodox Work Relations a.k.a. Job,21423.0,49.5
South and East,City,2009,Earnings from Unorthodox Work Relations,1110.0,2.6
South and East,City,2009,Pensions,14051.0,32.5
South and East,City,2009,Social Sequrity Earnings,838.0,1.9
South and East,City,2009,"Earnings from Agricultural, Hunting and Fishing Actions",148.0,0.3
South and East,City,2009,Foreign Earnings,639.0,1.5
South and East,City,2009,Real Estate Earnings,148.0,0.3
South and East,City,2009,Presents,171.0,0.4
South and East,City,2009,Investment Interest,541.0,1.3
South and East,City,2009,Rest,3591.0,8.3
South and East,City,2009,Earnings in Labor,614.0,1.4
South and East,City,2009,Other Earnings in Labor,36.0,0.1
South and East,Rest,2009,Total Earnings,40845.0,100.0
South and East,Rest,2009,Earnings in Currency,35221.0,86.2
South and East,Rest,2009,Earnings from Orthodox Work Relations a.k.a. Job,11273.0,27.6
South and East,Rest,2009,Earnings from Unorthodox Work Relations,1382.0,3.4
South and East,Rest,2009,Pensions,12694.0,31.1
South and East,Rest,2009,Social Sequrity Earnings,750.0,1.8
South and East,Rest,2009,"Earnings from Agricultural, Hunting and Fishing Actions",857.0,2.1
South and East,Rest,2009,Foreign Earnings,1428.0,3.5
South and East,Rest,2009,Real Estate Earnings,1136.0,2.8
South and East,Rest,2009,Presents,89.0,0.2
South and East,Rest,2009,Investment Interest,128.0,0.3
South and East,Rest,2009,Rest,5484.0,13.4
South and East,Rest,2009,Earnings in Labor,5624.0,13.8
South and East,Rest,2009,Other Earnings in Labor,33.0,0.1
State,Total,2010,Total Earnings,47376.0,100.0
State,Total,2010,Earnings in Currency,44801.0,94.6
State,Total,2010,Earnings from Orthodox Work Relations a.k.a. Job,20587.0,43.5
State,Total,2010,Earnings from Unorthodox Work Relations,1140.0,2.4
State,Total,2010,Pensions,15930.0,33.6
State,Total,2010,Social Sequrity Earnings,1009.0,2.1
State,Total,2010,"Earnings from Agricultural, Hunting and Fishing Actions",1830.0,3.9
State,Total,2010,Foreign Earnings,601.0,1.3
State,Total,2010,Real Estate Earnings,264.0,0.6
State,Total,2010,Presents,496.0,1.0
State,Total,2010,Investment Interest,864.0,1.8
State,Total,2010,Rest,2080.0,4.4
State,Total,2010,Earnings in Labor,2575.0,5.4
State,Total,2010,Other Earnings in Labor,42.0,0.1
State,City,2010,Total Earnings,49189.0,100.0
State,City,2010,Earnings in Currency,48714.0,99.0
State,City,2010,Earnings from Orthodox Work Relations a.k.a. Job,24337.0,49.5
State,City,2010,Earnings from Unorthodox Work Relations,1203.0,2.4
State,City,2010,Pensions,17838.0,36.3
State,City,2010,Social Sequrity Earnings,1065.0,2.2
State,City,2010,"Earnings from Agricultural, Hunting and Fishing Actions",202.0,0.4
State,City,2010,Foreign Earnings,655.0,1.3
State,City,2010,Real Estate Earnings,291.0,0.6
State,City,2010,Presents,614.0,1.2
State,City,2010,Investment Interest,991.0,2.0
State,City,2010,Rest,1518.0,3.1
State,City,2010,Earnings in Labor,475.0,1.0
State,City,2010,Other Earnings in Labor,37.0,0.1
State,Rest,2010,Total Earnings,44765.0,100.0
State,Rest,2010,Earnings in Currency,39176.0,87.5
State,Rest,2010,Earnings from Orthodox Work Relations a.k.a. Job,15201.0,34.0
State,Rest,2010,Earnings from Unorthodox Work Relations,1050.0,2.3
State,Rest,2010,Pensions,13189.0,29.5
State,Rest,2010,Social Sequrity Earnings,926.0,2.1
State,Rest,2010,"Earnings from Agricultural, Hunting and Fishing Actions",4168.0,9.3
State,Rest,2010,Foreign Earnings,524.0,1.2
State,Rest,2010,Real Estate Earnings,224.0,0.5
State,Rest,2010,Presents,327.0,0.7
State,Rest,2010,Investment Interest,681.0,1.5
State,Rest,2010,Rest,2886.0,6.4
State,Rest,2010,Earnings in Labor,5589.0,12.5
State,Rest,2010,Other Earnings in Labor,48.0,0.1
Belgrade,Total,2010,Total Earnings,55373.0,100.0
Belgrade,Total,2010,Earnings in Currency,54684.0,98.8
Belgrade,Total,2010,Earnings from Orthodox Work Relations a.k.a. Job,28517.0,51.5
Belgrade,Total,2010,Earnings from Unorthodox Work Relations,1080.0,2.0
Belgrade,Total,2010,Pensions,20023.0,36.2
Belgrade,Total,2010,Social Sequrity Earnings,788.0,1.4
Belgrade,Total,2010,"Earnings from Agricultural, Hunting and Fishing Actions",228.0,0.4
Belgrade,Total,2010,Foreign Earnings,390.0,0.7
Belgrade,Total,2010,Real Estate Earnings,334.0,0.6
Belgrade,Total,2010,Presents,1032.0,1.9
Belgrade,Total,2010,Investment Interest,895.0,1.6
Belgrade,Total,2010,Rest,1397.0,2.5
Belgrade,Total,2010,Earnings in Labor,689.0,1.2
Belgrade,Total,2010,Other Earnings in Labor,27.0,0.0
Belgrade,City,2010,Total Earnings,54904.0,100.0
Belgrade,City,2010,Earnings in Currency,54817.0,99.8
Belgrade,City,2010,Earnings from Orthodox Work Relations a.k.a. Job,29165.0,53.1
Belgrade,City,2010,Earnings from Unorthodox Work Relations,1147.0,2.1
Belgrade,City,2010,Pensions,20215.0,36.8
Belgrade,City,2010,Social Sequrity Earnings,782.0,1.4
Belgrade,City,2010,"Earnings from Agricultural, Hunting and Fishing Actions",4.0,0.0
Belgrade,City,2010,Foreign Earnings,467.0,0.9
Belgrade,City,2010,Real Estate Earnings,284.0,0.5
Belgrade,City,2010,Presents,1050.0,1.9
Belgrade,City,2010,Investment Interest,675.0,1.2
Belgrade,City,2010,Rest,1028.0,1.9
Belgrade,City,2010,Earnings in Labor,87.0,0.2
Belgrade,City,2010,Other Earnings in Labor,32.0,0.1
