Year,Q,Action,%NominalGDP,NominalValue(mRSD),RealGrowthRatePct(LastYear=100),"RealValue(mRSD,2010=100)"
2002,Q2,R-T - Other Service Activities,2.1,5346.5,-8.6,12834.4
2002,Q2,Total,84.0,217206.5,6.5,474829.2
2002,Q2,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",11.2,28837.8,13.3,64573.5
2002,Q3,"A - Agriculture, Forestry and Fishing",10.6,30743.4,-3.2,60720.1
2002,Q3,"B-E - Manufacturing, Mining and Other Industries",28.0,80828.9,9.9,158160.4
2002,Q3,F - Construction,3.8,11088.4,80.2,20183.5
2002,Q3,J - Informing and Communication,1.6,4644.4,6.8,10050.1
2002,Q3,K - Financial and Insurance Activities,1.3,3701.9,6.9,10677.7
2002,Q3,L - Real Estate Business,10.6,30645.2,1.9,67524.6
2002,Q3,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",2.9,8409.3,5.3,18729.7
2002,Q3,"O-Q - Public Administration, Defense, Education and Health, Social Care",13.2,38189.1,5.3,79903.1
2002,Q3,R-T - Other Service Activities,1.9,5515.0,-8.6,12782.5
2002,Q3,Total,84.6,244202.6,6.8,514952.8
2002,Q3,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",10.5,30437.1,14.1,67426.5
2002,Q4,"A - Agriculture, Forestry and Fishing",9.6,31112.6,-10.2,60300.2
2002,Q4,"B-E - Manufacturing, Mining and Other Industries",27.5,88885.0,7.8,173653.2
2002,Q4,F - Construction,3.7,11841.5,60.0,22250.2
2002,Q4,J - Informing and Communication,1.9,6183.1,26.3,12135.1
2002,Q4,K - Financial and Insurance Activities,1.3,4129.2,-3.5,11321.4
2002,Q4,L - Real Estate Business,11.1,35778.5,2.8,68933.4
2002,Q4,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",3.1,9985.6,6.3,20709.3
2002,Q4,"O-Q - Public Administration, Defense, Education and Health, Social Care",13.6,44051.4,3.2,86176.1
2002,Q4,R-T - Other Service Activities,1.8,5868.2,-6.8,13056.9
2002,Q4,Total,84.2,272039.0,4.4,550433.4
2002,Q4,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",10.6,34204.0,12.2,73877.6
2003,Q1,"A - Agriculture, Forestry and Fishing",7.8,21856.0,1.0,38046.4
2003,Q1,"B-E - Manufacturing, Mining and Other Industries",27.1,76271.5,1.3,147427.1
2003,Q1,F - Construction,3.0,8310.7,56.6,15653.6
2003,Q1,J - Informing and Communication,2.1,5847.3,18.2,11323.6
2003,Q1,K - Financial and Insurance Activities,1.6,4549.7,2.1,11487.0
2003,Q1,L - Real Estate Business,12.2,34223.5,3.6,66974.0
2003,Q1,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",4.0,11274.6,7.4,21411.9
2003,Q1,"O-Q - Public Administration, Defense, Education and Health, Social Care",14.7,41201.2,4.7,78804.2
2003,Q1,R-T - Other Service Activities,2.3,6396.7,2.6,13928.7
2003,Q1,Total,84.9,238415.7,5.8,464174.6
2003,Q1,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",10.1,28484.6,6.8,57773.4
2003,Q2,"A - Agriculture, Forestry and Fishing",7.6,23798.1,-0.5,44164.4
2003,Q2,"B-E - Manufacturing, Mining and Other Industries",26.5,83536.1,3.4,158472.0
2003,Q2,F - Construction,3.0,9492.3,14.1,16486.4
2003,Q2,J - Informing and Communication,2.0,6425.4,23.3,11998.8
2003,Q2,K - Financial and Insurance Activities,1.5,4734.3,15.5,11796.8
2003,Q2,L - Real Estate Business,12.5,39254.2,4.0,69216.5
2003,Q2,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",3.6,11383.1,11.8,21010.3
2003,Q2,"O-Q - Public Administration, Defense, Education and Health, Social Care",13.9,43721.2,3.2,81571.2
2003,Q2,R-T - Other Service Activities,2.1,6555.5,6.5,13671.0
2003,Q2,Total,83.6,263566.6,5.3,500181.9
2003,Q2,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",11.0,34666.4,7.9,69698.7
2003,Q3,"A - Agriculture, Forestry and Fishing",8.6,28359.7,-11.8,53570.1
2003,Q3,"B-E - Manufacturing, Mining and Other Industries",26.1,86705.0,1.4,160352.7
2003,Q3,F - Construction,4.2,13790.6,20.2,24259.5
2003,Q3,J - Informing and Communication,2.1,6816.2,25.4,12606.4
2003,Q3,K - Financial and Insurance Activities,1.4,4807.2,10.3,11782.7
2003,Q3,L - Real Estate Business,12.9,42696.7,3.7,69999.2
2003,Q3,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",3.3,11099.8,10.2,20642.1
2003,Q3,"O-Q - Public Administration, Defense, Education and Health, Social Care",14.4,47868.8,9.7,87633.3
2003,Q3,R-T - Other Service Activities,2.0,6627.0,7.6,13752.2
2003,Q3,Total,85.6,283943.9,2.7,529100.1
2003,Q3,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",10.6,35173.0,3.9,70084.6
2003,Q4,"A - Agriculture, Forestry and Fishing",8.4,30665.1,-11.5,53389.8
2003,Q4,"B-E - Manufacturing, Mining and Other Industries",26.3,96485.4,2.1,177224.5
2003,Q4,F - Construction,3.8,13830.9,6.7,23747.8
2003,Q4,J - Informing and Communication,2.0,7468.5,11.8,13571.1
2003,Q4,K - Financial and Insurance Activities,1.4,5059.4,7.9,12221.0
2003,Q4,L - Real Estate Business,12.5,45745.1,2.7,70784.5
2003,Q4,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",3.3,12089.2,8.7,22504.9
2003,Q4,"O-Q - Public Administration, Defense, Education and Health, Social Care",14.5,53334.8,8.1,93190.4
2003,Q4,R-T - Other Service Activities,2.0,7285.8,12.7,14709.5
2003,Q4,Total,85.2,312552.7,2.9,566186.0
2003,Q4,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",11.1,40588.5,8.9,80456.1
2004,Q1,"A - Agriculture, Forestry and Fishing",6.9,22167.8,3.1,39239.2
2004,Q1,"B-E - Manufacturing, Mining and Other Industries",28.3,90480.3,10.0,162123.8
2004,Q1,F - Construction,2.6,8189.9,-7.8,14438.8
2004,Q1,J - Informing and Communication,2.6,8203.9,25.3,14192.6
2004,Q1,K - Financial and Insurance Activities,1.7,5485.0,6.3,12207.8
2004,Q1,L - Real Estate Business,12.5,39988.0,0.7,67446.1
2004,Q1,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",4.0,12785.0,5.3,22546.3
2004,Q1,"O-Q - Public Administration, Defense, Education and Health, Social Care",14.0,44765.1,2.5,80763.8
2004,Q1,R-T - Other Service Activities,2.3,7465.7,5.9,14745.2
2004,Q1,Total,85.6,273377.4,6.7,495042.4
2004,Q1,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",10.6,33846.8,12.6,65079.5
2004,Q2,"A - Agriculture, Forestry and Fishing",6.8,24313.0,1.7,44898.7
2004,Q2,"B-E - Manufacturing, Mining and Other Industries",27.1,96992.2,4.9,166203.5
2004,Q2,F - Construction,3.6,12804.7,31.9,21744.9
2004,Q2,J - Informing and Communication,2.5,8832.9,23.2,14786.3
2004,Q2,K - Financial and Insurance Activities,1.6,5711.6,6.4,12554.5
2004,Q2,L - Real Estate Business,12.3,44181.0,-0.2,69073.4
2004,Q2,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",3.5,12461.6,2.5,21528.9
2004,Q2,"O-Q - Public Administration, Defense, Education and Health, Social Care",13.7,49070.2,7.1,87388.1
2004,Q2,R-T - Other Service Activities,2.0,7321.6,3.2,14103.9
2004,Q2,Total,84.2,301574.8,6.0,530098.2
2004,Q2,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",11.1,39886.1,8.0,75242.3
2004,Q3,"A - Agriculture, Forestry and Fishing",9.5,37303.8,24.6,66731.2
2004,Q3,"B-E - Manufacturing, Mining and Other Industries",26.0,102040.0,5.1,168560.7
2004,Q3,F - Construction,4.4,17329.5,18.5,28754.0
2004,Q3,J - Informing and Communication,2.4,9304.2,20.9,15244.5
2004,Q3,K - Financial and Insurance Activities,1.5,5969.4,7.3,12647.8
2004,Q3,L - Real Estate Business,12.0,47058.1,-0.2,69832.6
2004,Q3,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",3.3,12871.9,6.2,21911.7
2004,Q3,"O-Q - Public Administration, Defense, Education and Health, Social Care",12.8,50119.7,1.5,88941.4
2004,Q3,R-T - Other Service Activities,1.9,7630.3,4.6,14388.1
2004,Q3,Total,84.5,331706.0,7.4,568361.4
2004,Q3,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",10.7,42079.1,10.7,77605.6
2004,Q4,"A - Agriculture, Forestry and Fishing",10.2,46407.5,38.9,74183.1
2004,Q4,"B-E - Manufacturing, Mining and Other Industries",25.5,116103.2,6.9,189378.2
2004,Q4,F - Construction,4.0,18224.8,27.3,30239.7
2004,Q4,J - Informing and Communication,2.2,10165.8,20.8,16394.0
2004,Q4,K - Financial and Insurance Activities,1.4,6535.4,9.7,13410.7
2004,Q4,L - Real Estate Business,10.7,48993.8,0.5,71171.9
2004,Q4,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",3.4,15398.3,14.1,25667.5
2004,Q4,"O-Q - Public Administration, Defense, Education and Health, Social Care",12.4,56751.3,3.9,96795.8
2004,Q4,R-T - Other Service Activities,1.8,8313.9,5.2,15470.5
2004,Q4,Total,83.3,379777.2,11.4,630946.0
2004,Q4,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",11.6,52883.2,18.3,95201.7
2005,Q1,"A - Agriculture, Forestry and Fishing",6.1,23453.7,-4.0,37676.8
2005,Q1,"B-E - Manufacturing, Mining and Other Industries",26.4,101667.6,-0.8,160780.3
2005,Q1,F - Construction,1.7,6602.3,-29.4,10194.4
2005,Q1,J - Informing and Communication,2.8,10943.0,22.4,17368.0
2005,Q1,K - Financial and Insurance Activities,1.9,7493.5,12.7,13753.3
2005,Q1,L - Real Estate Business,13.4,51565.1,2.2,68933.2
2005,Q1,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",4.9,18751.7,25.7,28341.9
2005,Q1,"O-Q - Public Administration, Defense, Education and Health, Social Care",12.4,47830.9,4.5,84422.4
2005,Q1,R-T - Other Service Activities,2.5,9745.2,14.2,16835.4
2005,Q1,Total,83.6,322055.8,4.5,517183.7
2005,Q1,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",11.4,44002.9,17.9,76725.0
2005,Q2,"A - Agriculture, Forestry and Fishing",6.0,26547.0,0.7,45201.6
2005,Q2,"B-E - Manufacturing, Mining and Other Industries",25.3,111023.9,2.6,170601.5
2005,Q2,F - Construction,3.3,14602.7,8.0,23479.4
2005,Q2,J - Informing and Communication,2.5,11117.6,18.1,17459.7
2005,Q2,K - Financial and Insurance Activities,1.8,7988.7,14.6,14383.3
2005,Q2,L - Real Estate Business,12.8,56366.0,2.9,71099.6
2005,Q2,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",4.4,19165.5,33.5,28740.0
2005,Q2,"O-Q - Public Administration, Defense, Education and Health, Social Care",11.7,51312.3,1.6,88786.9
2005,Q2,R-T - Other Service Activities,2.3,10069.0,20.2,16948.3
2005,Q2,Total,82.7,363263.4,7.9,571773.5
2005,Q2,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",12.5,55070.7,24.2,93423.8
2005,Q3,"A - Agriculture, Forestry and Fishing",7.3,35033.9,-5.9,62779.0
2005,Q3,"B-E - Manufacturing, Mining and Other Industries",25.2,121494.3,6.8,179983.9
2005,Q3,F - Construction,4.6,22263.7,20.1,34546.4
2005,Q3,J - Informing and Communication,2.4,11733.4,17.1,17850.7
2005,Q3,K - Financial and Insurance Activities,1.7,8159.0,11.5,14107.5
2005,Q3,L - Real Estate Business,12.6,60558.5,2.9,71853.6
2005,Q3,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",4.2,20452.3,36.7,29957.4
2005,Q3,"O-Q - Public Administration, Defense, Education and Health, Social Care",10.9,52494.9,0.3,89228.7
2005,Q3,R-T - Other Service Activities,2.2,10477.0,18.7,17074.3
2005,Q3,Total,83.2,400429.7,8.0,613930.1
2005,Q3,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",12.0,57762.7,21.5,94289.9
2005,Q4,"A - Agriculture, Forestry and Fishing",7.3,39432.0,-7.8,68380.0
2005,Q4,"B-E - Manufacturing, Mining and Other Industries",25.0,134972.4,4.3,197499.7
2005,Q4,F - Construction,4.7,25566.9,28.7,38929.1
2005,Q4,J - Informing and Communication,2.4,12849.3,14.6,18787.8
2005,Q4,K - Financial and Insurance Activities,1.7,9109.9,12.5,15091.2
2005,Q4,L - Real Estate Business,11.9,64297.3,1.9,72553.0
2005,Q4,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",4.1,22257.0,23.4,31681.1
2005,Q4,"O-Q - Public Administration, Defense, Education and Health, Social Care",11.7,63467.4,0.6,97350.3
2005,Q4,R-T - Other Service Activities,2.2,11930.0,21.3,18769.7
2005,Q4,Total,82.8,447890.0,4.9,661901.1
2005,Q4,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",11.8,64007.7,6.0,100913.2
2006,Q1,"A - Agriculture, Forestry and Fishing",6.0,28067.1,1.7,38309.5
2006,Q1,"B-E - Manufacturing, Mining and Other Industries",25.8,120372.2,4.6,168102.0
2006,Q1,F - Construction,2.2,10207.8,45.5,14836.7
2006,Q1,J - Informing and Communication,3.2,14935.3,19.7,20785.2
2006,Q1,K - Financial and Insurance Activities,2.4,10977.5,20.3,16539.6
2006,Q1,L - Real Estate Business,11.5,53618.8,-1.3,68037.7
2006,Q1,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",5.2,24149.1,15.9,32844.0
2006,Q1,"O-Q - Public Administration, Defense, Education and Health, Social Care",11.7,54425.8,-3.6,81352.6
2006,Q1,R-T - Other Service Activities,2.9,13714.5,17.9,19842.6
2006,Q1,Total,83.7,389813.8,6.5,550606.5
2006,Q1,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",12.7,59345.9,12.8,86555.0
2006,Q2,"A - Agriculture, Forestry and Fishing",6.2,32812.5,0.0,45219.7
2006,Q2,"B-E - Manufacturing, Mining and Other Industries",24.5,129838.7,2.7,175130.9
2006,Q2,F - Construction,3.5,18449.1,7.2,25181.2
2006,Q2,J - Informing and Communication,3.0,15859.2,25.2,21867.9
2006,Q2,K - Financial and Insurance Activities,2.3,12199.5,24.2,17860.3
2006,Q2,L - Real Estate Business,10.8,57179.1,-3.0,68967.3
2006,Q2,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",4.9,25763.1,21.0,34764.2
2006,Q2,"O-Q - Public Administration, Defense, Education and Health, Social Care",11.0,58062.8,-4.9,84466.5
2006,Q2,R-T - Other Service Activities,2.7,14280.0,20.7,20459.2
2006,Q2,Total,82.4,436463.5,4.5,597351.9
2006,Q2,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",13.6,72019.4,9.0,101806.5
2006,Q3,"A - Agriculture, Forestry and Fishing",7.9,44599.0,5.8,66391.6
2006,Q3,"B-E - Manufacturing, Mining and Other Industries",24.0,134872.3,-2.2,176072.8
2006,Q3,F - Construction,5.0,27927.9,5.0,36267.3
2006,Q3,J - Informing and Communication,2.9,16518.9,26.0,22499.8
2006,Q3,K - Financial and Insurance Activities,2.1,12050.4,22.7,17309.8
2006,Q3,L - Real Estate Business,10.3,58202.0,-3.6,69252.4
2006,Q3,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",4.7,26381.8,17.4,35168.9
2006,Q3,"O-Q - Public Administration, Defense, Education and Health, Social Care",10.8,61026.0,-3.3,86251.9
2006,Q3,R-T - Other Service Activities,2.6,14782.2,22.1,20844.5
2006,Q3,Total,83.7,471255.9,3.2,633798.1
2006,Q3,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",13.3,74895.4,10.9,104538.2
2006,Q4,"A - Agriculture, Forestry and Fishing",6.9,43214.7,-6.9,63677.7
2006,Q4,"B-E - Manufacturing, Mining and Other Industries",24.5,152613.7,0.1,197726.6
2006,Q4,F - Construction,5.2,32480.4,7.2,41726.0
2006,Q4,J - Informing and Communication,2.8,17284.9,22.9,23088.3
2006,Q4,K - Financial and Insurance Activities,2.0,12297.3,16.4,17570.1
2006,Q4,L - Real Estate Business,9.6,59841.8,-3.6,69933.3
2006,Q4,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",4.4,27111.8,11.5,35340.1
2006,Q4,"O-Q - Public Administration, Defense, Education and Health, Social Care",12.2,76230.9,-2.1,95317.8
2006,Q4,R-T - Other Service Activities,2.5,15459.8,14.2,21428.0
2006,Q4,Total,82.9,516112.9,2.2,676236.6
2006,Q4,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",12.8,79577.5,10.6,111605.7
2007,Q1,"A - Agriculture, Forestry and Fishing",5.5,29862.0,-0.8,37991.2
2007,Q1,"B-E - Manufacturing, Mining and Other Industries",25.0,136567.9,4.7,175925.3
2007,Q1,F - Construction,3.0,16398.9,37.0,20327.6
2007,Q1,J - Informing and Communication,3.4,18417.9,11.4,23145.3
2007,Q1,K - Financial and Insurance Activities,2.6,14116.3,13.7,18804.0
2007,Q1,L - Real Estate Business,9.3,50975.3,-1.4,67053.4
2007,Q1,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",4.8,26526.1,5.7,34715.9
2007,Q1,"O-Q - Public Administration, Defense, Education and Health, Social Care",13.0,71256.1,4.2,84787.3
2007,Q1,R-T - Other Service Activities,3.0,16634.9,6.9,21218.0
2007,Q1,Total,83.6,457358.7,6.7,587493.7
2007,Q1,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",14.0,76603.4,18.5,102542.6
2007,Q2,"A - Agriculture, Forestry and Fishing",5.3,32642.7,-2.2,44223.4
2007,Q2,"B-E - Manufacturing, Mining and Other Industries",23.8,145575.0,4.8,183483.2
2007,Q2,F - Construction,4.2,25651.6,22.7,30903.2
2007,Q2,J - Informing and Communication,3.2,19731.4,12.6,24613.4
2007,Q2,K - Financial and Insurance Activities,2.4,14746.9,3.0,18397.4
2007,Q2,L - Real Estate Business,8.8,54034.3,-0.5,68596.6
2007,Q2,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",4.6,28352.3,4.3,36252.6
2007,Q2,"O-Q - Public Administration, Defense, Education and Health, Social Care",12.5,76375.2,3.1,87075.6
2007,Q2,R-T - Other Service Activities,2.8,17005.1,5.3,21550.0
2007,Q2,Total,82.5,504518.1,6.3,634762.1
2007,Q2,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",14.8,90403.8,17.1,119220.9
2007,Q3,"A - Agriculture, Forestry and Fishing",6.9,44800.1,-11.3,58914.7
2007,Q3,"B-E - Manufacturing, Mining and Other Industries",23.1,149211.3,6.5,187512.7
2007,Q3,F - Construction,5.1,32875.0,8.4,39313.9
2007,Q3,J - Informing and Communication,3.2,20588.2,14.4,25733.1
2007,Q3,K - Financial and Insurance Activities,2.3,14764.4,3.4,17904.4
2007,Q3,L - Real Estate Business,8.5,54651.2,0.3,69488.0
2007,Q3,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",4.5,28940.6,3.9,36555.0
2007,Q3,"O-Q - Public Administration, Defense, Education and Health, Social Care",12.3,79468.4,2.7,88577.5
2007,Q3,R-T - Other Service Activities,2.7,17166.8,3.9,21663.7
2007,Q3,Total,82.9,535357.5,5.2,666507.0
2007,Q3,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",14.4,92891.4,15.7,120947.9
2007,Q4,"A - Agriculture, Forestry and Fishing",6.5,47108.9,-12.5,55718.6
2007,Q4,"B-E - Manufacturing, Mining and Other Industries",23.4,168288.4,4.1,205860.1
2007,Q4,F - Construction,5.2,37090.5,5.1,43862.3
2007,Q4,J - Informing and Communication,3.0,21870.3,19.0,27469.0
2007,Q4,K - Financial and Insurance Activities,2.2,15706.6,7.2,18839.1
2007,Q4,L - Real Estate Business,8.0,57673.6,3.4,72337.8
2007,Q4,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",4.3,31126.6,11.0,39219.9
2007,Q4,"O-Q - Public Administration, Defense, Education and Health, Social Care",13.6,97548.6,4.3,99449.8
2007,Q4,R-T - Other Service Activities,2.5,17739.6,4.0,22283.2
2007,Q4,Total,82.8,595567.1,5.7,714967.1
2007,Q4,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",14.1,101414.0,16.3,129818.8
2008,Q1,"A - Agriculture, Forestry and Fishing",6.3,40969.5,8.9,41354.2
2008,Q1,"B-E - Manufacturing, Mining and Other Industries",24.4,157460.3,6.6,187539.1
2008,Q1,F - Construction,3.0,19449.3,6.5,21648.6
2008,Q1,J - Informing and Communication,3.6,23551.1,18.8,27496.1
2008,Q1,K - Financial and Insurance Activities,2.8,17816.0,9.1,20521.1
2008,Q1,L - Real Estate Business,8.3,53382.3,2.2,68550.2
2008,Q1,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",5.2,33691.9,15.8,40210.5
2008,Q1,"O-Q - Public Administration, Defense, Education and Health, Social Care",13.1,84830.5,3.5,87735.8
2008,Q1,R-T - Other Service Activities,2.9,18955.2,7.8,22865.1
2008,Q1,Total,84.0,542450.4,7.5,631585.5
2008,Q1,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",14.3,92344.5,10.9,113717.8
2008,Q2,"A - Agriculture, Forestry and Fishing",6.7,48070.2,4.9,46389.8
2008,Q2,"B-E - Manufacturing, Mining and Other Industries",23.4,169074.9,7.0,196377.3
2008,Q2,F - Construction,4.2,30344.9,5.7,32679.5
2008,Q2,J - Informing and Communication,3.4,24616.9,15.9,28529.8
2008,Q2,K - Financial and Insurance Activities,2.6,18938.9,18.6,21824.0
2008,Q2,L - Real Estate Business,7.7,55816.9,3.2,70798.3
2008,Q2,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",4.9,34995.7,15.6,41905.7
2008,Q2,"O-Q - Public Administration, Defense, Education and Health, Social Care",12.6,91032.9,4.4,90892.7
2008,Q2,R-T - Other Service Activities,2.8,20236.2,11.2,23962.3
2008,Q2,Total,83.0,598530.8,7.1,679907.9
2008,Q2,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",14.6,105403.3,6.3,126772.5
2008,Q3,"A - Agriculture, Forestry and Fishing",8.8,65299.5,11.3,65570.6
2008,Q3,"B-E - Manufacturing, Mining and Other Industries",22.7,169468.4,3.7,194425.0
2008,Q3,F - Construction,4.9,36450.5,0.1,39366.7
2008,Q3,J - Informing and Communication,3.3,24673.6,10.7,28485.3
2008,Q3,K - Financial and Insurance Activities,2.5,18505.9,17.9,21101.2
2008,Q3,L - Real Estate Business,7.5,55901.8,4.0,72271.9
2008,Q3,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",4.8,35493.6,15.7,42303.8
2008,Q3,"O-Q - Public Administration, Defense, Education and Health, Social Care",12.0,89409.1,2.7,90971.6
2008,Q3,R-T - Other Service Activities,2.7,20494.4,10.8,24000.9
2008,Q3,Total,83.9,625017.3,6.2,707927.7
2008,Q3,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",14.7,109320.5,7.5,130048.9
2008,Q4,"A - Agriculture, Forestry and Fishing",7.8,62186.9,8.4,60401.7
2008,Q4,"B-E - Manufacturing, Mining and Other Industries",22.6,180032.8,-1.3,203100.9
2008,Q4,F - Construction,5.1,40688.9,-0.8,43498.1
2008,Q4,J - Informing and Communication,3.2,25769.1,7.6,29567.7
2008,Q4,K - Financial and Insurance Activities,2.4,19437.2,13.9,21464.7
2008,Q4,L - Real Estate Business,7.9,62739.1,1.4,73383.2
2008,Q4,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",4.8,37856.1,14.0,44707.3
2008,Q4,"O-Q - Public Administration, Defense, Education and Health, Social Care",12.6,100349.5,-3.5,96005.8
2008,Q4,R-T - Other Service Activities,2.7,21268.1,10.2,24558.7
2008,Q4,Total,83.6,665809.3,2.6,733246.8
2008,Q4,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",14.5,115481.7,5.4,136797.3
2009,Q1,"A - Agriculture, Forestry and Fishing",6.8,46523.7,-1.4,40768.0
2009,Q1,"B-E - Manufacturing, Mining and Other Industries",21.5,147990.4,-9.9,168905.8
2009,Q1,F - Construction,2.8,19049.3,-2.5,21103.7
2009,Q1,J - Informing and Communication,4.2,29144.2,7.1,29456.9
2009,Q1,K - Financial and Insurance Activities,3.2,21792.9,8.9,22342.3
2009,Q1,L - Real Estate Business,9.3,63776.4,2.6,70319.3
2009,Q1,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",6.1,41884.9,8.4,43576.9
2009,Q1,"O-Q - Public Administration, Defense, Education and Health, Social Care",12.3,84453.6,0.7,88359.7
2009,Q1,R-T - Other Service Activities,3.4,23363.7,7.1,24478.2
2009,Q1,Total,84.8,583243.9,-1.4,622524.1
2009,Q1,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",15.3,105264.9,1.3,115191.2
2009,Q2,"A - Agriculture, Forestry and Fishing",6.9,52180.8,3.7,48117.1
2009,Q2,"B-E - Manufacturing, Mining and Other Industries",20.4,153726.2,-14.0,168847.3
2009,Q2,F - Construction,3.7,28070.1,-7.0,30388.6
2009,Q2,J - Informing and Communication,4.0,30532.1,7.7,30736.6
2009,Q2,K - Financial and Insurance Activities,3.0,22583.0,5.9,23109.4
2009,Q2,L - Real Estate Business,9.0,67657.2,1.6,71899.8
2009,Q2,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",5.5,41793.2,3.4,43328.6
2009,Q2,"O-Q - Public Administration, Defense, Education and Health, Social Care",11.7,88105.6,1.1,91866.9
2009,Q2,R-T - Other Service Activities,3.2,23797.2,2.5,24568.1
2009,Q2,Total,83.0,627018.7,-3.1,658930.3
2009,Q2,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",15.7,118573.3,0.1,126906.3
2009,Q3,"A - Agriculture, Forestry and Fishing",8.1,63507.5,0.8,66076.6
2009,Q3,"B-E - Manufacturing, Mining and Other Industries",21.1,165666.9,-8.2,178502.3
2009,Q3,F - Construction,3.9,30610.7,-16.8,32768.4
2009,Q3,J - Informing and Communication,3.9,30563.8,6.9,30461.7
2009,Q3,K - Financial and Insurance Activities,2.8,22054.7,5.4,22243.9
2009,Q3,L - Real Estate Business,8.9,70028.3,1.3,73221.0
2009,Q3,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",5.3,41572.7,1.4,42876.9
2009,Q3,"O-Q - Public Administration, Defense, Education and Health, Social Care",11.1,87107.7,1.0,91858.9
2009,Q3,R-T - Other Service Activities,3.0,23727.3,1.3,24314.0
2009,Q3,Total,83.8,656854.7,-2.0,693993.5
2009,Q3,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",15.6,122015.2,0.1,130234.5
2009,Q4,"A - Agriculture, Forestry and Fishing",7.0,57587.4,0.1,60488.7
2009,Q4,"B-E - Manufacturing, Mining and Other Industries",22.0,181998.6,-5.1,192796.4
2009,Q4,F - Construction,4.0,32919.7,-18.6,35428.1
2009,Q4,J - Informing and Communication,3.7,30934.6,4.3,30848.8
2009,Q4,K - Financial and Insurance Activities,2.7,22400.9,4.8,22494.1
2009,Q4,L - Real Estate Business,8.7,72023.6,0.6,73805.6
2009,Q4,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",5.2,43009.9,-1.4,44091.2
