Year,Q,Action,%NominalGDP,NominalValue(mRSD),RealGrowthRatePct(LastYear=100),"RealValue(mRSD,2010=100)"
1996,Q3,F - Construction,5.5,1711.6,12.2,12962.2
1996,Q3,J - Informing and Communication,1.8,578.1,-6.8,5890.8
1996,Q3,K - Financial and Insurance Activities,1.4,435.4,-10.0,12121.4
1996,Q3,L - Real Estate Business,10.5,3306.3,-1.0,61326.8
1996,Q3,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",3.1,987.1,-2.2,13513.5
1996,Q3,"O-Q - Public Administration, Defense, Education and Health, Social Care",13.2,4137.3,-1.3,68941.3
1996,Q3,R-T - Other Service Activities,2.8,867.3,-7.3,11107.0
1996,Q3,Total,93.2,29232.0,6.6,423532.3
1996,Q3,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",11.7,3683.5,8.3,58686.7
1996,Q4,"A - Agriculture, Forestry and Fishing",17.9,6435.6,15.8,56794.6
1996,Q4,"B-E - Manufacturing, Mining and Other Industries",27.6,9935.1,26.3,148446.1
1996,Q4,F - Construction,5.0,1810.9,10.7,13088.0
1996,Q4,J - Informing and Communication,1.7,599.9,-1.4,6108.7
1996,Q4,K - Financial and Insurance Activities,1.3,465.8,-3.6,12366.8
1996,Q4,L - Real Estate Business,10.0,3599.4,-0.7,62194.8
1996,Q4,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",3.0,1069.2,-0.9,13825.2
1996,Q4,"O-Q - Public Administration, Defense, Education and Health, Social Care",12.7,4572.4,-0.2,70154.5
1996,Q4,R-T - Other Service Activities,2.6,921.3,-0.7,11238.2
1996,Q4,Total,93.4,33602.7,13.3,466808.7
1996,Q4,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",11.7,4193.2,13.7,64669.5
1997,Q1,"A - Agriculture, Forestry and Fishing",18.8,6005.3,3.2,41022.8
1997,Q1,"B-E - Manufacturing, Mining and Other Industries",26.8,8552.0,6.7,118985.7
1997,Q1,F - Construction,4.3,1356.1,12.5,9924.4
1997,Q1,J - Informing and Communication,1.9,620.0,10.9,6404.8
1997,Q1,K - Financial and Insurance Activities,1.5,474.7,-1.0,11968.3
1997,Q1,L - Real Estate Business,9.5,3033.0,1.4,59869.1
1997,Q1,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",3.7,1172.4,3.4,13961.2
1997,Q1,"O-Q - Public Administration, Defense, Education and Health, Social Care",12.9,4114.5,-4.5,62701.8
1997,Q1,R-T - Other Service Activities,3.0,957.7,7.2,10972.4
1997,Q1,Total,93.5,29813.0,4.5,385068.1
1997,Q1,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",11.1,3527.1,7.1,51961.8
1997,Q2,"A - Agriculture, Forestry and Fishing",16.3,5735.0,-4.4,42973.4
1997,Q2,"B-E - Manufacturing, Mining and Other Industries",28.3,9942.5,13.1,135348.4
1997,Q2,F - Construction,4.8,1703.1,-8.0,11276.4
1997,Q2,J - Informing and Communication,1.8,626.5,17.2,6404.7
1997,Q2,K - Financial and Insurance Activities,1.4,489.9,0.6,12284.4
1997,Q2,L - Real Estate Business,10.0,3524.8,1.7,61624.4
1997,Q2,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",3.3,1174.8,2.7,13371.9
1997,Q2,"O-Q - Public Administration, Defense, Education and Health, Social Care",13.2,4636.8,-2.5,65754.0
1997,Q2,R-T - Other Service Activities,2.7,964.0,4.6,10650.7
1997,Q2,Total,93.2,32770.6,3.4,415316.8
1997,Q2,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",11.3,3973.2,4.4,58137.0
1997,Q3,"A - Agriculture, Forestry and Fishing",16.2,6534.3,16.7,60399.4
1997,Q3,"B-E - Manufacturing, Mining and Other Industries",25.2,10151.1,12.6,138285.9
1997,Q3,F - Construction,5.3,2120.9,4.8,13581.9
1997,Q3,J - Informing and Communication,1.6,635.6,10.0,6479.3
1997,Q3,K - Financial and Insurance Activities,1.3,515.1,5.4,12776.9
1997,Q3,L - Real Estate Business,10.3,4167.4,1.7,62339.3
1997,Q3,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",3.0,1224.5,0.7,13604.2
1997,Q3,"O-Q - Public Administration, Defense, Education and Health, Social Care",16.3,6582.6,16.4,80257.4
1997,Q3,R-T - Other Service Activities,2.5,997.8,-2.6,10815.8
1997,Q3,Total,92.4,37224.4,10.8,469237.5
1997,Q3,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",10.7,4295.2,7.6,63164.5
1997,Q4,"A - Agriculture, Forestry and Fishing",16.3,7243.4,9.1,61981.9
1997,Q4,"B-E - Manufacturing, Mining and Other Industries",27.3,12147.6,11.2,165075.1
1997,Q4,F - Construction,5.0,2240.5,6.7,13969.3
1997,Q4,J - Informing and Communication,1.5,674.1,13.2,6914.3
1997,Q4,K - Financial and Insurance Activities,1.3,593.0,15.0,14226.5
1997,Q4,L - Real Estate Business,10.0,4468.7,1.9,63394.9
1997,Q4,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",3.0,1340.8,8.8,15037.6
1997,Q4,"O-Q - Public Administration, Defense, Education and Health, Social Care",13.9,6207.8,10.6,77588.9
1997,Q4,R-T - Other Service Activities,2.3,1037.6,-0.3,11206.6
1997,Q4,Total,91.9,40896.4,8.6,506763.7
1997,Q4,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",11.1,4942.9,9.4,70721.3
1998,Q1,"A - Agriculture, Forestry and Fishing",17.0,7086.5,-7.9,37800.3
1998,Q1,"B-E - Manufacturing, Mining and Other Industries",26.1,10850.0,18.0,140365.8
1998,Q1,F - Construction,4.1,1722.9,8.0,10720.6
1998,Q1,J - Informing and Communication,1.7,721.8,17.4,7517.8
1998,Q1,K - Financial and Insurance Activities,1.7,686.3,22.0,14596.9
1998,Q1,L - Real Estate Business,9.4,3888.5,1.9,61005.3
1998,Q1,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",3.7,1529.3,17.2,16363.1
1998,Q1,"O-Q - Public Administration, Defense, Education and Health, Social Care",14.1,5845.0,13.5,71158.8
1998,Q1,R-T - Other Service Activities,2.7,1121.4,5.2,11545.0
1998,Q1,Total,91.3,37939.8,9.7,422332.5
1998,Q1,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",10.8,4488.2,11.4,57861.7
1998,Q2,"A - Agriculture, Forestry and Fishing",15.3,7082.8,-1.5,42343.6
1998,Q2,"B-E - Manufacturing, Mining and Other Industries",27.3,12594.4,7.9,146077.8
1998,Q2,F - Construction,4.7,2163.7,5.7,11914.7
1998,Q2,J - Informing and Communication,1.7,764.7,15.0,7367.5
1998,Q2,K - Financial and Insurance Activities,1.6,735.3,15.3,14166.2
1998,Q2,L - Real Estate Business,9.6,4445.1,1.4,62501.0
1998,Q2,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",3.5,1594.4,19.6,15995.2
1998,Q2,"O-Q - Public Administration, Defense, Education and Health, Social Care",12.7,5845.5,8.6,71433.9
1998,Q2,R-T - Other Service Activities,2.6,1221.5,9.6,11674.9
1998,Q2,Total,91.1,42047.5,6.8,443422.7
1998,Q2,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",12.1,5599.9,10.8,64408.7
1998,Q3,"A - Agriculture, Forestry and Fishing",17.2,8630.8,-1.5,59512.9
1998,Q3,"B-E - Manufacturing, Mining and Other Industries",25.6,12812.7,0.1,138487.0
1998,Q3,F - Construction,5.2,2598.2,-1.3,13411.3
1998,Q3,J - Informing and Communication,1.6,823.5,11.5,7224.9
1998,Q3,K - Financial and Insurance Activities,1.5,754.9,2.9,13152.7
1998,Q3,L - Real Estate Business,10.0,4983.4,1.4,63191.7
1998,Q3,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",3.4,1705.9,17.0,15919.8
1998,Q3,"O-Q - Public Administration, Defense, Education and Health, Social Care",12.5,6266.2,-9.1,72934.8
1998,Q3,R-T - Other Service Activities,2.7,1370.2,11.6,12067.5
1998,Q3,Total,91.9,46015.3,-0.5,467058.5
1998,Q3,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",12.1,6069.5,0.8,63639.0
1998,Q4,"A - Agriculture, Forestry and Fishing",16.5,9473.7,4.2,64604.3
1998,Q4,"B-E - Manufacturing, Mining and Other Industries",29.1,16691.3,2.3,168905.7
1998,Q4,F - Construction,4.5,2606.5,-11.6,12355.5
1998,Q4,J - Informing and Communication,1.5,861.4,4.0,7191.8
1998,Q4,K - Financial and Insurance Activities,1.3,733.7,-18.4,11615.5
1998,Q4,L - Real Estate Business,9.2,5276.4,0.7,63815.7
1998,Q4,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",3.2,1810.7,7.5,16166.3
1998,Q4,"O-Q - Public Administration, Defense, Education and Health, Social Care",12.3,7079.7,-0.5,77194.1
1998,Q4,R-T - Other Service Activities,2.6,1482.1,8.0,12102.0
1998,Q4,Total,92.0,52799.1,0.0,506854.8
1998,Q4,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",11.8,6783.7,-7.1,65681.8
1999,Q1,"A - Agriculture, Forestry and Fishing",17.5,8943.9,3.3,39032.5
1999,Q1,"B-E - Manufacturing, Mining and Other Industries",29.6,15103.9,2.3,143663.0
1999,Q1,F - Construction,3.7,1905.4,-13.5,9274.6
1999,Q1,J - Informing and Communication,1.7,883.9,-2.8,7307.4
1999,Q1,K - Financial and Insurance Activities,1.3,671.8,-34.0,9640.9
1999,Q1,L - Real Estate Business,9.8,5022.9,-0.9,60479.1
1999,Q1,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",3.6,1818.5,-8.0,15046.9
1999,Q1,"O-Q - Public Administration, Defense, Education and Health, Social Care",11.2,5707.6,-4.8,67770.9
1999,Q1,R-T - Other Service Activities,2.8,1444.1,0.7,11626.4
1999,Q1,Total,92.9,47470.8,-1.7,415041.4
1999,Q1,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",11.7,5968.8,-1.5,56970.4
1999,Q2,"A - Agriculture, Forestry and Fishing",20.7,8792.3,8.3,45871.2
1999,Q2,"B-E - Manufacturing, Mining and Other Industries",21.6,9173.4,-42.6,83784.1
1999,Q2,F - Construction,4.2,1766.6,-37.0,7506.1
1999,Q2,J - Informing and Communication,2.0,852.6,-8.2,6763.9
1999,Q2,K - Financial and Insurance Activities,1.4,598.8,-42.5,8145.5
1999,Q2,L - Real Estate Business,11.2,4755.2,-0.6,62152.7
1999,Q2,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",3.9,1657.3,-16.0,13432.5
1999,Q2,"O-Q - Public Administration, Defense, Education and Health, Social Care",12.8,5444.8,-2.8,69434.5
1999,Q2,R-T - Other Service Activities,3.4,1465.1,-5.5,11033.6
1999,Q2,Total,92.2,39214.0,-20.4,352952.6
1999,Q2,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",11.1,4708.0,-34.3,42286.3
1999,Q3,"A - Agriculture, Forestry and Fishing",18.7,10724.9,-4.3,56942.1
1999,Q3,"B-E - Manufacturing, Mining and Other Industries",26.8,15396.9,-5.0,131498.1
1999,Q3,F - Construction,4.1,2349.9,-26.0,9929.6
1999,Q3,J - Informing and Communication,1.6,924.0,-3.6,6965.6
1999,Q3,K - Financial and Insurance Activities,0.9,503.9,-52.5,6245.9
1999,Q3,L - Real Estate Business,11.0,6304.2,-0.8,62655.7
