,Year,CountryId,Sector,Exports(tUSD),Imports(tUSD),NetExports(tUSD)
88,2004,BA,Food and Livestock,130322.3,18007.9,112314.4
89,2004,BA,Drinks and Tobacco,40737.8,1555.5,39182.3
90,2004,BA,Ineadible Raw Materials Excluding Fuel,33310.9,59337.6,-26026.699999999997
91,2004,BA,"Mineral Fuels, Lubricants and Related Products",53239.6,44745.3,8494.299999999996
92,2004,BA,"Animal and Vegetable Oils, Fats and Waxes",15978.9,66.1,15912.8
93,2004,BA,Chemical Products and Similar,76331.1,15653.0,60678.100000000006
94,2004,BA,Manufactured Products Classified by Material,135289.6,47242.8,88046.8
95,2004,BA,Machines and Transport Devices,70045.7,28079.8,41965.899999999994
96,2004,BA,Other Finished Products,69629.7,21304.5,48325.2
97,2004,BA,Undeclared Products within SITC Rev. 4,922.2,1329.6,-407.39999999999986
98,2004,BB,Drinks and Tobacco,0.0,3.7,-3.7
99,2004,BB,Manufactured Products Classified by Material,13.8,0.0,13.8
100,2004,BD,Food and Livestock,0.0,3.7,-3.7
101,2004,BD,Manufactured Products Classified by Material,0.0,646.9,-646.9
102,2004,BD,Machines and Transport Devices,0.0,5.9,-5.9
103,2004,BD,Other Finished Products,4.6,940.9,-936.3
104,2004,BD,Undeclared Products within SITC Rev. 4,0.1,0.0,0.1
105,2004,BE,Food and Livestock,14699.3,3671.0,11028.3
106,2004,BE,Drinks and Tobacco,621.6,221.1,400.5
107,2004,BE,Ineadible Raw Materials Excluding Fuel,1782.9,4120.5,-2337.6
108,2004,BE,"Mineral Fuels, Lubricants and Related Products",1.5,2117.3,-2115.8
109,2004,BE,"Animal and Vegetable Oils, Fats and Waxes",0.0,430.2,-430.2
110,2004,BE,Chemical Products and Similar,18117.0,46243.5,-28126.5
111,2004,BE,Manufactured Products Classified by Material,9484.8,22337.3,-12852.5
112,2004,BE,Machines and Transport Devices,1231.2,31127.8,-29896.6
113,2004,BE,Other Finished Products,3415.2,9692.9,-6277.7
114,2004,BE,Undeclared Products within SITC Rev. 4,1260.6,375.1,885.4999999999999
115,2004,BF,Chemical Products and Similar,26.2,0.0,26.2
116,2004,BF,Machines and Transport Devices,0.0,5.0,-5.0
117,2004,BG,Food and Livestock,2221.1,12862.8,-10641.699999999999
118,2004,BG,Drinks and Tobacco,15.5,565.0,-549.5
119,2004,BG,Ineadible Raw Materials Excluding Fuel,14173.2,3264.3,10908.900000000001
120,2004,BG,"Mineral Fuels, Lubricants and Related Products",3716.6,30042.2,-26325.600000000002
121,2004,BG,"Animal and Vegetable Oils, Fats and Waxes",2467.8,36.7,2431.1000000000004
122,2004,BG,Chemical Products and Similar,11450.3,21112.9,-9662.600000000002
123,2004,BG,Manufactured Products Classified by Material,20611.1,113287.8,-92676.70000000001
124,2004,BG,Machines and Transport Devices,2150.0,30890.2,-28740.2
125,2004,BG,Other Finished Products,3580.4,10959.6,-7379.200000000001
126,2004,BG,Undeclared Products within SITC Rev. 4,563.7,595.1,-31.399999999999977
127,2004,BH,Food and Livestock,6.5,27.4,-20.9
128,2004,BH,Ineadible Raw Materials Excluding Fuel,75.3,0.0,75.3
129,2004,BH,"Animal and Vegetable Oils, Fats and Waxes",0.3,0.0,0.3
130,2004,BH,Chemical Products and Similar,27.0,0.0,27.0
131,2004,BH,Manufactured Products Classified by Material,86.3,0.0,86.3
132,2004,BH,Machines and Transport Devices,24.3,3.0,21.3
133,2004,BH,Other Finished Products,11.6,0.0,11.6
134,2004,BH,Undeclared Products within SITC Rev. 4,0.0,0.0,0.0
135,2004,BI,"Mineral Fuels, Lubricants and Related Products",0.1,0.0,0.1
136,2004,BI,Manufactured Products Classified by Material,2.0,0.0,2.0
137,2004,BI,Other Finished Products,6.9,0.0,6.9
138,2004,BJ,Chemical Products and Similar,25.1,0.0,25.1
139,2004,BM,Other Finished Products,0.0,0.5,-0.5
140,2004,BN,Drinks and Tobacco,3.8,0.0,3.8
141,2004,BN,Manufactured Products Classified by Material,0.5,0.0,0.5
142,2004,BN,Machines and Transport Devices,0.0,2.5,-2.5
143,2004,BO,Food and Livestock,0.0,8.1,-8.1
144,2004,BO,Machines and Transport Devices,1.3,28.7,-27.4
145,2004,BR,Food and Livestock,3.0,68165.4,-68162.4
146,2004,BR,Drinks and Tobacco,0.0,4115.8,-4115.8
147,2004,BR,Ineadible Raw Materials Excluding Fuel,1.7,5153.6,-5151.900000000001
148,2004,BR,"Mineral Fuels, Lubricants and Related Products",0.0,6.1,-6.1
149,2004,BR,"Animal and Vegetable Oils, Fats and Waxes",0.0,0.9,-0.9
150,2004,BR,Chemical Products and Similar,15.6,3317.3,-3301.7000000000003
151,2004,BR,Manufactured Products Classified by Material,0.0,1439.1,-1439.1
152,2004,BR,Machines and Transport Devices,374.5,2748.7,-2374.2
153,2004,BR,Other Finished Products,21.7,917.7,-896.0
154,2004,BR,Undeclared Products within SITC Rev. 4,0.0,0.9,-0.9
155,2004,BS,Food and Livestock,35.7,6.4,29.300000000000004
156,2004,BS,Ineadible Raw Materials Excluding Fuel,32.0,3.8,28.2
157,2004,BS,"Mineral Fuels, Lubricants and Related Products",3.6,0.0,3.6
158,2004,BS,Chemical Products and Similar,1.6,16.4,-14.799999999999999
159,2004,BS,Manufactured Products Classified by Material,15.5,18.3,-2.8000000000000007
160,2004,BS,Machines and Transport Devices,0.3,0.0,0.3
161,2004,BS,Other Finished Products,32.0,0.0,32.0
162,2004,BS,Undeclared Products within SITC Rev. 4,15.4,0.0,15.4
163,2004,BT,Food and Livestock,0.0,54.9,-54.9
164,2004,BW,Food and Livestock,0.0,0.1,-0.1
165,2004,BW,Manufactured Products Classified by Material,0.0,0.2,-0.2
166,2004,BW,Machines and Transport Devices,0.0,0.7,-0.7
167,2004,BW,Other Finished Products,0.0,14.1,-14.1
168,2004,BY,Food and Livestock,127.6,63.8,63.8
169,2004,BY,Drinks and Tobacco,59.1,0.0,59.1
170,2004,BY,Ineadible Raw Materials Excluding Fuel,74.5,2366.5,-2292.0
171,2004,BY,"Mineral Fuels, Lubricants and Related Products",1.0,0.0,1.0
172,2004,BY,Chemical Products and Similar,1084.8,15074.5,-13989.7
173,2004,BY,Manufactured Products Classified by Material,2167.2,1541.0,626.1999999999998
174,2004,BY,Machines and Transport Devices,2002.2,17726.8,-15724.599999999999
175,2004,BY,Other Finished Products,106.5,139.8,-33.30000000000001
176,2004,BY,Undeclared Products within SITC Rev. 4,9.2,0.0,9.2
177,2004,BZ,Chemical Products and Similar,0.0,162.7,-162.7
178,2004,BZ,Other Finished Products,8.7,0.0,8.7
179,2004,CA,Food and Livestock,1286.1,2210.2,-924.0999999999999
180,2004,CA,Drinks and Tobacco,344.0,89.0,255.0
181,2004,CA,Ineadible Raw Materials Excluding Fuel,6.2,852.4,-846.1999999999999
182,2004,CA,"Mineral Fuels, Lubricants and Related Products",9.8,139.4,-129.6
183,2004,CA,"Animal and Vegetable Oils, Fats and Waxes",19.0,0.0,19.0
184,2004,CA,Chemical Products and Similar,42.1,762.3,-720.1999999999999
185,2004,CA,Manufactured Products Classified by Material,1272.3,1388.6,-116.29999999999995
186,2004,CA,Machines and Transport Devices,306.7,5602.9,-5296.2
187,2004,CA,Other Finished Products,1373.1,2563.3,-1190.2000000000003
188,2004,CA,Undeclared Products within SITC Rev. 4,215.5,24.0,191.5
189,2004,CF,Chemical Products and Similar,0.0,1.2,-1.2
190,2004,CG,Food and Livestock,0.0,57.0,-57.0
191,2004,CG,Ineadible Raw Materials Excluding Fuel,3.0,93.9,-90.9
192,2004,CG,Chemical Products and Similar,0.5,1.5,-1.0
193,2004,CG,Manufactured Products Classified by Material,15.8,14.4,1.4000000000000004
194,2004,CG,Machines and Transport Devices,69.1,30.4,38.699999999999996
195,2004,CG,Other Finished Products,2.6,5.6,-2.9999999999999996
196,2004,CG,Undeclared Products within SITC Rev. 4,0.2,5.5,-5.3
197,2004,CH,Food and Livestock,5052.0,6372.3,-1320.3000000000002
