Year,Activity,Amount(mRSD)ValueAdded,Amount(mRSD)PersonnelCost,NetValueAdded(mRSD)
2016,Manufacturing Industry,578998,296102,282896
2016,"Electricity, Gas, Steam and Air Conditioning Supply",198634,76414,122220
2016,Waterworks,48580,31712,16868
2016,Construction,117740,64665,53075
2016,"Wholesale and Retail Trade, Repair of Vehicles",342440,182430,160010
2016,"Transport, Traffic and Storage",160290,101974,58316
2016,Accommodation and Catering Services,21006,14422,6584
2016,Information and Communications,172297,81623,90674
2016,Real Estate Business,19002,4754,14248
2016,"Professional, Scientific and Technical Activities",98531,74583,23948
2016,Administrative and Support Services,60781,47057,13724
2017,Total,1995001,1087662,907339
2017,Mining,34267,17373,16894
2017,Manufacturing Industry,656230,334099,322131
2017,"Electricity, Gas, Steam and Air Conditioning Supply",181124,80669,100455
2017,Waterworks,51239,33710,17529
2017,Construction,129055,71318,57737
2017,"Wholesale and Retail Trade, Repair of Vehicles",365518,196286,169232
2017,"Transport, Traffic and Storage",164712,104956,59756
2017,Accommodation and Catering Services,23838,16279,7559
2017,Information and Communications,183863,88168,95695
2017,Real Estate Business,22089,5144,16945
2017,"Professional, Scientific and Technical Activities",109038,82371,26667
2017,Administrative and Support Services,72192,56180,16012
2017,Other Services,1836,1109,727
2018,Total,2134414,1210671,923743
2018,Mining,29821,22225,7596
2018,Manufacturing Industry,699974,366910,333064
2018,"Electricity, Gas, Steam and Air Conditioning Supply",174342,79076,95266
2018,Waterworks,50966,35655,15311
2018,Construction,149440,80368,69072
2018,"Wholesale and Retail Trade, Repair of Vehicles",397552,226520,171032
2018,"Transport, Traffic and Storage",168320,111842,56478
2018,Accommodation and Catering Services,26369,18842,7527
2018,Information and Communications,201658,104447,97211
2018,Real Estate Business,20686,5849,14837
2018,"Professional, Scientific and Technical Activities",129785,93280,36505
2018,Administrative and Support Services,83262,64401,18861
2018,Other Services,2239,1256,983
