Year,Region,Gender,AgeGroup,Amount
2012,State,F,83,18353
2012,Belgrade,F,83,4117
2012,Voyvodina/North,F,83,4720
2012,Central and West,F,83,5104
2012,South and East,F,83,4412
2012,State,F,84,15539
2012,Belgrade,F,84,3488
2012,Voyvodina/North,F,84,3796
2012,Central and West,F,84,4358
2012,South and East,F,84,3897
2012,State,F,85,54032
2012,Belgrade,F,85,12792
2012,Voyvodina/North,F,85,13803
2012,Central and West,F,85,14508
2012,South and East,F,85,12929
2013,State,Total,-1,7183925
2013,Belgrade,Total,-1,1666676
2013,Voyvodina/North,Total,-1,1917222
2013,Central and West,Total,-1,2010923
2013,South and East,Total,-1,1589104
2013,State,Total,0,66842
2013,Belgrade,Total,0,18169
2013,Voyvodina/North,Total,0,17867
2013,Central and West,Total,0,17836
2013,South and East,Total,0,12970
2013,State,Total,1,65336
2013,Belgrade,Total,1,17536
2013,Voyvodina/North,Total,1,17463
2013,Central and West,Total,1,17307
2013,South and East,Total,1,13030
2013,State,Total,2,66121
2013,Belgrade,Total,2,17244
2013,Voyvodina/North,Total,2,17713
2013,Central and West,Total,2,18186
2013,South and East,Total,2,12978
2013,State,Total,3,67143
2013,Belgrade,Total,3,16655
2013,Voyvodina/North,Total,3,18061
2013,Central and West,Total,3,18820
2013,South and East,Total,3,13607
2013,State,Total,4,66731
2013,Belgrade,Total,4,16218
2013,Voyvodina/North,Total,4,17920
2013,Central and West,Total,4,18922
2013,South and East,Total,4,13671
2013,State,Total,5,66119
2013,Belgrade,Total,5,15518
2013,Voyvodina/North,Total,5,17860
2013,Central and West,Total,5,18874
2013,South and East,Total,5,13867
2013,State,Total,6,68250
2013,Belgrade,Total,6,15461
2013,Voyvodina/North,Total,6,18391
2013,Central and West,Total,6,19744
2013,South and East,Total,6,14654
2013,State,Total,7,69968
2013,Belgrade,Total,7,15551
2013,Voyvodina/North,Total,7,18776
2013,Central and West,Total,7,20519
2013,South and East,Total,7,15122
2013,State,Total,8,71250
2013,Belgrade,Total,8,15413
2013,Voyvodina/North,Total,8,18933
2013,Central and West,Total,8,20773
2013,South and East,Total,8,16131
2013,State,Total,9,72346
2013,Belgrade,Total,9,15508
2013,Voyvodina/North,Total,9,19216
2013,Central and West,Total,9,21311
2013,South and East,Total,9,16311
2013,State,Total,10,71956
2013,Belgrade,Total,10,15508
2013,Voyvodina/North,Total,10,19206
2013,Central and West,Total,10,20796
2013,South and East,Total,10,16446
2013,State,Total,11,72511
2013,Belgrade,Total,11,15443
2013,Voyvodina/North,Total,11,19426
2013,Central and West,Total,11,20982
2013,South and East,Total,11,16660
2013,State,Total,12,67841
2013,Belgrade,Total,12,14258
2013,Voyvodina/North,Total,12,18029
2013,Central and West,Total,12,19921
2013,South and East,Total,12,15633
2013,State,Total,13,68055
2013,Belgrade,Total,13,14272
2013,Voyvodina/North,Total,13,17984
2013,Central and West,Total,13,19861
2013,South and East,Total,13,15938
2013,State,Total,14,70088
2013,Belgrade,Total,14,14525
2013,Voyvodina/North,Total,14,18819
2013,Central and West,Total,14,20321
2013,South and East,Total,14,16423
2013,State,Total,15,73031
2013,Belgrade,Total,15,15063
2013,Voyvodina/North,Total,15,19602
2013,Central and West,Total,15,21305
2013,South and East,Total,15,17061
2013,State,Total,16,76932
2013,Belgrade,Total,16,15952
2013,Voyvodina/North,Total,16,20691
2013,Central and West,Total,16,22314
2013,South and East,Total,16,17975
2013,State,Total,17,81146
2013,Belgrade,Total,17,16743
2013,Voyvodina/North,Total,17,21972
2013,Central and West,Total,17,23341
2013,South and East,Total,17,19090
2013,State,Total,18,80977
2013,Belgrade,Total,18,16988
2013,Voyvodina/North,Total,18,21814
2013,Central and West,Total,18,23199
2013,South and East,Total,18,18976
2013,State,Total,19,82798
2013,Belgrade,Total,19,17178
2013,Voyvodina/North,Total,19,22405
2013,Central and West,Total,19,23873
2013,South and East,Total,19,19342
2013,State,Total,20,82886
2013,Belgrade,Total,20,17829
2013,Voyvodina/North,Total,20,22168
2013,Central and West,Total,20,23632
2013,South and East,Total,20,19257
2013,State,Total,21,86124
2013,Belgrade,Total,21,18751
2013,Voyvodina/North,Total,21,23397
2013,Central and West,Total,21,24707
2013,South and East,Total,21,19269
2013,State,Total,22,85956
2013,Belgrade,Total,22,18736
2013,Voyvodina/North,Total,22,23311
2013,Central and West,Total,22,24708
2013,South and East,Total,22,19201
2013,State,Total,23,86574
2013,Belgrade,Total,23,19530
2013,Voyvodina/North,Total,23,23382
2013,Central and West,Total,23,24354
2013,South and East,Total,23,19308
2013,State,Total,24,91671
2013,Belgrade,Total,24,21323
2013,Voyvodina/North,Total,24,25236
2013,Central and West,Total,24,25297
2013,South and East,Total,24,19815
2013,State,Total,25,92734
2013,Belgrade,Total,25,22576
2013,Voyvodina/North,Total,25,25286
2013,Central and West,Total,25,25154
2013,South and East,Total,25,19718
2013,State,Total,26,92454
2013,Belgrade,Total,26,23281
2013,Voyvodina/North,Total,26,25114
2013,Central and West,Total,26,24604
2013,South and East,Total,26,19455
2013,State,Total,27,94665
2013,Belgrade,Total,27,24368
2013,Voyvodina/North,Total,27,25812
2013,Central and West,Total,27,24943
2013,South and East,Total,27,19542
2013,State,Total,28,98921
2013,Belgrade,Total,28,26243
2013,Voyvodina/North,Total,28,26969
2013,Central and West,Total,28,25935
2013,South and East,Total,28,19774
2013,State,Total,29,99226
2013,Belgrade,Total,29,26774
2013,Voyvodina/North,Total,29,27000
2013,Central and West,Total,29,25562
2013,South and East,Total,29,19890
2013,State,Total,30,97841
2013,Belgrade,Total,30,26623
2013,Voyvodina/North,Total,30,26524
2013,Central and West,Total,30,25086
2013,South and East,Total,30,19608
2013,State,Total,31,97431
2013,Belgrade,Total,31,26418
2013,Voyvodina/North,Total,31,26652
2013,Central and West,Total,31,25016
2013,South and East,Total,31,19345
2013,State,Total,32,99306
2013,Belgrade,Total,32,27395
2013,Voyvodina/North,Total,32,26813
2013,Central and West,Total,32,25336
2013,South and East,Total,32,19762
2013,State,Total,33,99145
2013,Belgrade,Total,33,26965
2013,Voyvodina/North,Total,33,26882
2013,Central and West,Total,33,25555
2013,South and East,Total,33,19743
2013,State,Total,34,100461
2013,Belgrade,Total,34,26830
2013,Voyvodina/North,Total,34,27673
2013,Central and West,Total,34,25940
2013,South and East,Total,34,20018
2013,State,Total,35,101034
2013,Belgrade,Total,35,26656
2013,Voyvodina/North,Total,35,27056
2013,Central and West,Total,35,26868
2013,South and East,Total,35,20454
2013,State,Total,36,102047
2013,Belgrade,Total,36,26366
2013,Voyvodina/North,Total,36,27332
2013,Central and West,Total,36,27198
2013,South and East,Total,36,21151
2013,State,Total,37,101850
2013,Belgrade,Total,37,25482
2013,Voyvodina/North,Total,37,27234
2013,Central and West,Total,37,27399
2013,South and East,Total,37,21735
2013,State,Total,38,98829
2013,Belgrade,Total,38,24781
2013,Voyvodina/North,Total,38,26078
2013,Central and West,Total,38,26815
2013,South and East,Total,38,21155
2013,State,Total,39,98741
2013,Belgrade,Total,39,24595
2013,Voyvodina/North,Total,39,26137
2013,Central and West,Total,39,26721
2013,South and East,Total,39,21288
2013,State,Total,40,95926
2013,Belgrade,Total,40,23217
2013,Voyvodina/North,Total,40,25386
2013,Central and West,Total,40,25931
2013,South and East,Total,40,21392
2013,State,Total,41,95895
2013,Belgrade,Total,41,23339
2013,Voyvodina/North,Total,41,25579
2013,Central and West,Total,41,26227
2013,South and East,Total,41,20750
2013,State,Total,42,93678
2013,Belgrade,Total,42,22685
2013,Voyvodina/North,Total,42,24674
2013,Central and West,Total,42,25758
2013,South and East,Total,42,20561
2013,State,Total,43,94612
2013,Belgrade,Total,43,22328
2013,Voyvodina/North,Total,43,24974
2013,Central and West,Total,43,26213
2013,South and East,Total,43,21097
2013,State,Total,44,93913
2013,Belgrade,Total,44,21560
2013,Voyvodina/North,Total,44,25663
2013,Central and West,Total,44,25958
2013,South and East,Total,44,20732
2013,State,Total,45,94589
2013,Belgrade,Total,45,21443
2013,Voyvodina/North,Total,45,25974
2013,Central and West,Total,45,26221
2013,South and East,Total,45,20951
2013,State,Total,46,94411
2013,Belgrade,Total,46,21156
2013,Voyvodina/North,Total,46,26555
2013,Central and West,Total,46,25844
2013,South and East,Total,46,20856
2013,State,Total,47,96893
2013,Belgrade,Total,47,21627
2013,Voyvodina/North,Total,47,27021
2013,Central and West,Total,47,26933
2013,South and East,Total,47,21312
2013,State,Total,48,93775
2013,Belgrade,Total,48,20904
2013,Voyvodina/North,Total,48,26405
2013,Central and West,Total,48,26147
2013,South and East,Total,48,20319
2013,State,Total,49,97629
2013,Belgrade,Total,49,21781
2013,Voyvodina/North,Total,49,27177
2013,Central and West,Total,49,27601
2013,South and East,Total,49,21070
2013,State,Total,50,98892
2013,Belgrade,Total,50,21841
2013,Voyvodina/North,Total,50,27545
2013,Central and West,Total,50,28284
2013,South and East,Total,50,21222
2013,State,Total,51,102757
2013,Belgrade,Total,51,22542
2013,Voyvodina/North,Total,51,28834
2013,Central and West,Total,51,29190
2013,South and East,Total,51,22191
2013,State,Total,52,105959
2013,Belgrade,Total,52,22828
2013,Voyvodina/North,Total,52,29590
2013,Central and West,Total,52,30802
2013,South and East,Total,52,22739
2013,State,Total,53,102302
2013,Belgrade,Total,53,22379
2013,Voyvodina/North,Total,53,28375
2013,Central and West,Total,53,29625
2013,South and East,Total,53,21923
2013,State,Total,54,103763
2013,Belgrade,Total,54,22856
2013,Voyvodina/North,Total,54,27665
2013,Central and West,Total,54,31086
2013,South and East,Total,54,22156
2013,State,Total,55,102275
2013,Belgrade,Total,55,22497
2013,Voyvodina/North,Total,55,28457
2013,Central and West,Total,55,29409
2013,South and East,Total,55,21912
2013,State,Total,56,111361
2013,Belgrade,Total,56,25036
2013,Voyvodina/North,Total,56,31179
2013,Central and West,Total,56,32004
2013,South and East,Total,56,23142
2013,State,Total,57,115301
2013,Belgrade,Total,57,25855
2013,Voyvodina/North,Total,57,31308
2013,Central and West,Total,57,33330
2013,South and East,Total,57,24808
2013,State,Total,58,121986
2013,Belgrade,Total,58,27527
2013,Voyvodina/North,Total,58,31719
2013,Central and West,Total,58,36542
2013,South and East,Total,58,26198
2013,State,Total,59,118957
2013,Belgrade,Total,59,26911
2013,Voyvodina/North,Total,59,30980
2013,Central and West,Total,59,34648
2013,South and East,Total,59,26418
2013,State,Total,60,122292
2013,Belgrade,Total,60,27803
2013,Voyvodina/North,Total,60,31083
2013,Central and West,Total,60,36281
2013,South and East,Total,60,27125
2013,State,Total,61,104716
2013,Belgrade,Total,61,24337
2013,Voyvodina/North,Total,61,27351
2013,Central and West,Total,61,29480
2013,South and East,Total,61,23548
2013,State,Total,62,115012
2013,Belgrade,Total,62,26628
2013,Voyvodina/North,Total,62,29593
2013,Central and West,Total,62,32412
2013,South and East,Total,62,26379
2013,State,Total,63,106947
2013,Belgrade,Total,63,25073
2013,Voyvodina/North,Total,63,28356
2013,Central and West,Total,63,29625
2013,South and East,Total,63,23893
2013,State,Total,64,102490
2013,Belgrade,Total,64,23617
2013,Voyvodina/North,Total,64,26845
2013,Central and West,Total,64,27103
2013,South and East,Total,64,24925
2013,State,Total,65,93719
2013,Belgrade,Total,65,21875
2013,Voyvodina/North,Total,65,25434
2013,Central and West,Total,65,24201
2013,South and East,Total,65,22209
2013,State,Total,66,78967
2013,Belgrade,Total,66,18452
2013,Voyvodina/North,Total,66,22023
2013,Central and West,Total,66,21328
2013,South and East,Total,66,17164
2013,State,Total,67,59193
2013,Belgrade,Total,67,13181
2013,Voyvodina/North,Total,67,15525
2013,Central and West,Total,67,16741
2013,South and East,Total,67,13746
2013,State,Total,68,64566
2013,Belgrade,Total,68,13274
2013,Voyvodina/North,Total,68,16093
2013,Central and West,Total,68,18362
2013,South and East,Total,68,16837
2013,State,Total,69,64564
2013,Belgrade,Total,69,13078
2013,Voyvodina/North,Total,69,16840
2013,Central and West,Total,69,18392
2013,South and East,Total,69,16254
2013,State,Total,70,66008
2013,Belgrade,Total,70,13779
2013,Voyvodina/North,Total,70,17531
2013,Central and West,Total,70,17423
2013,South and East,Total,70,17275
2013,State,Total,71,68337
2013,Belgrade,Total,71,14999
2013,Voyvodina/North,Total,71,17944
2013,Central and West,Total,71,18781
2013,South and East,Total,71,16613
2013,State,Total,72,71186
2013,Belgrade,Total,72,15418
2013,Voyvodina/North,Total,72,17898
2013,Central and West,Total,72,20707
2013,South and East,Total,72,17163
2013,State,Total,73,67562
2013,Belgrade,Total,73,14957
2013,Voyvodina/North,Total,73,17858
2013,Central and West,Total,73,19252
2013,South and East,Total,73,15495
2013,State,Total,74,66189
2013,Belgrade,Total,74,14658
2013,Voyvodina/North,Total,74,17263
2013,Central and West,Total,74,18844
2013,South and East,Total,74,15424
2013,State,Total,75,64654
2013,Belgrade,Total,75,14273
2013,Voyvodina/North,Total,75,16419
2013,Central and West,Total,75,18645
2013,South and East,Total,75,15317
2013,State,Total,76,61674
2013,Belgrade,Total,76,13462
2013,Voyvodina/North,Total,76,15683
2013,Central and West,Total,76,17911
2013,South and East,Total,76,14618
2013,State,Total,77,58861
2013,Belgrade,Total,77,12852
2013,Voyvodina/North,Total,77,14574
2013,Central and West,Total,77,17412
2013,South and East,Total,77,14023
2013,State,Total,78,56601
2013,Belgrade,Total,78,12226
2013,Voyvodina/North,Total,78,13520
2013,Central and West,Total,78,16826
2013,South and East,Total,78,14029
2013,State,Total,79,51420
2013,Belgrade,Total,79,11034
2013,Voyvodina/North,Total,79,12576
2013,Central and West,Total,79,15168
2013,South and East,Total,79,12642
2013,State,Total,80,47383
2013,Belgrade,Total,80,10062
2013,Voyvodina/North,Total,80,11185
2013,Central and West,Total,80,14012
2013,South and East,Total,80,12124
2013,State,Total,81,40838
2013,Belgrade,Total,81,8723
2013,Voyvodina/North,Total,81,9200
2013,Central and West,Total,81,12666
2013,South and East,Total,81,10249
2013,State,Total,82,37393
2013,Belgrade,Total,82,8150
2013,Voyvodina/North,Total,82,8981
2013,Central and West,Total,82,11113
2013,South and East,Total,82,9149
2013,State,Total,83,30892
2013,Belgrade,Total,83,6649
2013,Voyvodina/North,Total,83,7214
2013,Central and West,Total,83,9244
2013,South and East,Total,83,7785
2013,State,Total,84,25886
2013,Belgrade,Total,84,5627
2013,Voyvodina/North,Total,84,6318
2013,Central and West,Total,84,7494
2013,South and East,Total,84,6447
2013,State,Total,85,88364
2013,Belgrade,Total,85,21452
2013,Voyvodina/North,Total,85,20651
2013,Central and West,Total,85,24712
2013,South and East,Total,85,21549
2013,State,M,-1,3498280
2013,Belgrade,M,-1,788178
2013,Voyvodina/North,M,-1,933234
2013,Central and West,M,-1,990784
2013,South and East,M,-1,786084
2013,State,M,0,34311
2013,Belgrade,M,0,9208
2013,Voyvodina/North,M,0,9219
2013,Central and West,M,0,9212
2013,South and East,M,0,6672
2013,State,M,1,33791
2013,Belgrade,M,1,9028
2013,Voyvodina/North,M,1,9152
2013,Central and West,M,1,8960
2013,South and East,M,1,6651
2013,State,M,2,33912
2013,Belgrade,M,2,8856
2013,Voyvodina/North,M,2,9112
2013,Central and West,M,2,9297
2013,South and East,M,2,6647
2013,State,M,3,34732
2013,Belgrade,M,3,8520
2013,Voyvodina/North,M,3,9306
2013,Central and West,M,3,9819
2013,South and East,M,3,7087
2013,State,M,4,34543
2013,Belgrade,M,4,8415
2013,Voyvodina/North,M,4,9294
2013,Central and West,M,4,9691
2013,South and East,M,4,7143
2013,State,M,5,34044
2013,Belgrade,M,5,7876
2013,Voyvodina/North,M,5,9123
2013,Central and West,M,5,9806
2013,South and East,M,5,7239
2013,State,M,6,34975
2013,Belgrade,M,6,7916
2013,Voyvodina/North,M,6,9308
2013,Central and West,M,6,10230
2013,South and East,M,6,7521
2013,State,M,7,35794
2013,Belgrade,M,7,7932
2013,Voyvodina/North,M,7,9581
2013,Central and West,M,7,10501
2013,South and East,M,7,7780
2013,State,M,8,36746
2013,Belgrade,M,8,8018
2013,Voyvodina/North,M,8,9714
2013,Central and West,M,8,10686
2013,South and East,M,8,8328
2013,State,M,9,37234
2013,Belgrade,M,9,7918
2013,Voyvodina/North,M,9,9915
2013,Central and West,M,9,10948
2013,South and East,M,9,8453
2013,State,M,10,36969
2013,Belgrade,M,10,8016
2013,Voyvodina/North,M,10,9755
2013,Central and West,M,10,10630
2013,South and East,M,10,8568
2013,State,M,11,37265
2013,Belgrade,M,11,7885
2013,Voyvodina/North,M,11,10020
2013,Central and West,M,11,10802
2013,South and East,M,11,8558
2013,State,M,12,34806
2013,Belgrade,M,12,7326
2013,Voyvodina/North,M,12,9234
2013,Central and West,M,12,10183
2013,South and East,M,12,8063
2013,State,M,13,35228
2013,Belgrade,M,13,7362
2013,Voyvodina/North,M,13,9334
2013,Central and West,M,13,10307
2013,South and East,M,13,8225
2013,State,M,14,35972
2013,Belgrade,M,14,7439
2013,Voyvodina/North,M,14,9645
2013,Central and West,M,14,10434
2013,South and East,M,14,8454
2013,State,M,15,37517
2013,Belgrade,M,15,7763
2013,Voyvodina/North,M,15,10089
2013,Central and West,M,15,10896
2013,South and East,M,15,8769
2013,State,M,16,39691
2013,Belgrade,M,16,8342
2013,Voyvodina/North,M,16,10677
2013,Central and West,M,16,11388
2013,South and East,M,16,9284
2013,State,M,17,41933
2013,Belgrade,M,17,8696
2013,Voyvodina/North,M,17,11356
2013,Central and West,M,17,11978
2013,South and East,M,17,9903
2013,State,M,18,41741
2013,Belgrade,M,18,8716
2013,Voyvodina/North,M,18,11188
2013,Central and West,M,18,11937
2013,South and East,M,18,9900
2013,State,M,19,42687
2013,Belgrade,M,19,8741
2013,Voyvodina/North,M,19,11629
2013,Central and West,M,19,12233
2013,South and East,M,19,10084
2013,State,M,20,42426
2013,Belgrade,M,20,8955
2013,Voyvodina/North,M,20,11345
2013,Central and West,M,20,12074
2013,South and East,M,20,10052
2013,State,M,21,43985
2013,Belgrade,M,21,9465
2013,Voyvodina/North,M,21,11880
2013,Central and West,M,21,12720
2013,South and East,M,21,9920
2013,State,M,22,44056
2013,Belgrade,M,22,9455
2013,Voyvodina/North,M,22,12033
2013,Central and West,M,22,12625
2013,South and East,M,22,9943
2013,State,M,23,44189
2013,Belgrade,M,23,9779
2013,Voyvodina/North,M,23,11942
2013,Central and West,M,23,12535
2013,South and East,M,23,9933
2013,State,M,24,47141
2013,Belgrade,M,24,10509
2013,Voyvodina/North,M,24,13078
2013,Central and West,M,24,13239
2013,South and East,M,24,10315
2013,State,M,25,47535
2013,Belgrade,M,25,10986
2013,Voyvodina/North,M,25,13059
2013,Central and West,M,25,13135
2013,South and East,M,25,10355
2013,State,M,26,47126
2013,Belgrade,M,26,11263
2013,Voyvodina/North,M,26,12913
2013,Central and West,M,26,12869
2013,South and East,M,26,10081
2013,State,M,27,48352
2013,Belgrade,M,27,11727
2013,Voyvodina/North,M,27,13330
2013,Central and West,M,27,13044
2013,South and East,M,27,10251
2013,State,M,28,50368
2013,Belgrade,M,28,12577
2013,Voyvodina/North,M,28,13981
2013,Central and West,M,28,13567
2013,South and East,M,28,10243
2013,State,M,29,50676
2013,Belgrade,M,29,13027
2013,Voyvodina/North,M,29,13990
2013,Central and West,M,29,13283
2013,South and East,M,29,10376
2013,State,M,30,49846
2013,Belgrade,M,30,12951
2013,Voyvodina/North,M,30,13632
2013,Central and West,M,30,13154
2013,South and East,M,30,10109
2013,State,M,31,49388
2013,Belgrade,M,31,12871
2013,Voyvodina/North,M,31,13620
2013,Central and West,M,31,12911
2013,South and East,M,31,9986
2013,State,M,32,50557
2013,Belgrade,M,32,13345
2013,Voyvodina/North,M,32,13866
2013,Central and West,M,32,13129
2013,South and East,M,32,10217
2013,State,M,33,50468
2013,Belgrade,M,33,13291
2013,Voyvodina/North,M,33,14002
2013,Central and West,M,33,13015
2013,South and East,M,33,10160
2013,State,M,34,51191
2013,Belgrade,M,34,13170
2013,Voyvodina/North,M,34,14361
2013,Central and West,M,34,13295
2013,South and East,M,34,10365
2013,State,M,35,51312
2013,Belgrade,M,35,13016
2013,Voyvodina/North,M,35,13997
2013,Central and West,M,35,13729
2013,South and East,M,35,10570
2013,State,M,36,51481
2013,Belgrade,M,36,12747
2013,Voyvodina/North,M,36,13944
2013,Central and West,M,36,14006
2013,South and East,M,36,10784
2013,State,M,37,51411
2013,Belgrade,M,37,12458
2013,Voyvodina/North,M,37,13955
2013,Central and West,M,37,13936
2013,South and East,M,37,11062
2013,State,M,38,49880
2013,Belgrade,M,38,12171
2013,Voyvodina/North,M,38,13442
2013,Central and West,M,38,13520
2013,South and East,M,38,10747
2013,State,M,39,49621
2013,Belgrade,M,39,11999
2013,Voyvodina/North,M,39,13373
2013,Central and West,M,39,13434
2013,South and East,M,39,10815
2013,State,M,40,47812
2013,Belgrade,M,40,11178
2013,Voyvodina/North,M,40,12715
2013,Central and West,M,40,12989
2013,South and East,M,40,10930
2013,State,M,41,48150
2013,Belgrade,M,41,11409
2013,Voyvodina/North,M,41,13013
2013,Central and West,M,41,13177
2013,South and East,M,41,10551
2013,State,M,42,46954
2013,Belgrade,M,42,11171
2013,Voyvodina/North,M,42,12480
2013,Central and West,M,42,12906
2013,South and East,M,42,10397
2013,State,M,43,47236
2013,Belgrade,M,43,10829
2013,Voyvodina/North,M,43,12546
2013,Central and West,M,43,13104
2013,South and East,M,43,10757
2013,State,M,44,46367
2013,Belgrade,M,44,10349
2013,Voyvodina/North,M,44,12821
2013,Central and West,M,44,12754
2013,South and East,M,44,10443
2013,State,M,45,46824
2013,Belgrade,M,45,10398
2013,Voyvodina/North,M,45,12876
2013,Central and West,M,45,13080
2013,South and East,M,45,10470
2013,State,M,46,46558
2013,Belgrade,M,46,10036
2013,Voyvodina/North,M,46,13254
2013,Central and West,M,46,12855
2013,South and East,M,46,10413
2013,State,M,47,47834
2013,Belgrade,M,47,10346
2013,Voyvodina/North,M,47,13372
2013,Central and West,M,47,13407
2013,South and East,M,47,10709
2013,State,M,48,46245
2013,Belgrade,M,48,10022
2013,Voyvodina/North,M,48,13040
2013,Central and West,M,48,12899
2013,South and East,M,48,10284
2013,State,M,49,47932
2013,Belgrade,M,49,10261
2013,Voyvodina/North,M,49,13371
2013,Central and West,M,49,13716
2013,South and East,M,49,10584
2013,State,M,50,48465
2013,Belgrade,M,50,10193
2013,Voyvodina/North,M,50,13672
2013,Central and West,M,50,13996
2013,South and East,M,50,10604
2013,State,M,51,50051
2013,Belgrade,M,51,10397
2013,Voyvodina/North,M,51,14185
2013,Central and West,M,51,14349
2013,South and East,M,51,11120
2013,State,M,52,51729
2013,Belgrade,M,52,10545
2013,Voyvodina/North,M,52,14540
2013,Central and West,M,52,15112
2013,South and East,M,52,11532
2013,State,M,53,50002
2013,Belgrade,M,53,10334
2013,Voyvodina/North,M,53,13941
2013,Central and West,M,53,14668
2013,South and East,M,53,11059
2013,State,M,54,50726
2013,Belgrade,M,54,10566
2013,Voyvodina/North,M,54,13524
2013,Central and West,M,54,15306
2013,South and East,M,54,11330
2013,State,M,55,49604
2013,Belgrade,M,55,10397
2013,Voyvodina/North,M,55,13888
2013,Central and West,M,55,14362
2013,South and East,M,55,10957
2013,State,M,56,53916
2013,Belgrade,M,56,11567
2013,Voyvodina/North,M,56,15263
2013,Central and West,M,56,15660
2013,South and East,M,56,11426
2013,State,M,57,56101
2013,Belgrade,M,57,11905
2013,Voyvodina/North,M,57,15405
2013,Central and West,M,57,16479
2013,South and East,M,57,12312
2013,State,M,58,58990
2013,Belgrade,M,58,12611
2013,Voyvodina/North,M,58,15349
2013,Central and West,M,58,17957
2013,South and East,M,58,13073
2013,State,M,59,57490
2013,Belgrade,M,59,12233
2013,Voyvodina/North,M,59,14977
2013,Central and West,M,59,17162
2013,South and East,M,59,13118
2013,State,M,60,58668
2013,Belgrade,M,60,12591
2013,Voyvodina/North,M,60,14864
2013,Central and West,M,60,17818
2013,South and East,M,60,13395
2013,State,M,61,50057
2013,Belgrade,M,61,10970
2013,Voyvodina/North,M,61,13098
2013,Central and West,M,61,14513
2013,South and East,M,61,11476
2013,State,M,62,54317
2013,Belgrade,M,62,11836
2013,Voyvodina/North,M,62,14022
2013,Central and West,M,62,15743
2013,South and East,M,62,12716
2013,State,M,63,50234
2013,Belgrade,M,63,10991
2013,Voyvodina/North,M,63,13354
2013,Central and West,M,63,14350
2013,South and East,M,63,11539
2013,State,M,64,47713
2013,Belgrade,M,64,10291
2013,Voyvodina/North,M,64,12343
2013,Central and West,M,64,13050
2013,South and East,M,64,12029
2013,State,M,65,43516
2013,Belgrade,M,65,9577
2013,Voyvodina/North,M,65,11582
2013,Central and West,M,65,11636
2013,South and East,M,65,10721
2013,State,M,66,36247
2013,Belgrade,M,66,8034
2013,Voyvodina/North,M,66,9916
2013,Central and West,M,66,10133
2013,South and East,M,66,8164
2013,State,M,67,26833
2013,Belgrade,M,67,5864
2013,Voyvodina/North,M,67,6794
2013,Central and West,M,67,7677
2013,South and East,M,67,6498
2013,State,M,68,28993
2013,Belgrade,M,68,5873
2013,Voyvodina/North,M,68,6953
2013,Central and West,M,68,8472
2013,South and East,M,68,7695
2013,State,M,69,28982
2013,Belgrade,M,69,5598
2013,Voyvodina/North,M,69,7301
2013,Central and West,M,69,8517
2013,South and East,M,69,7566
2013,State,M,70,29207
2013,Belgrade,M,70,6006
2013,Voyvodina/North,M,70,7520
2013,Central and West,M,70,7850
2013,South and East,M,70,7831
2013,State,M,71,30048
2013,Belgrade,M,71,6424
2013,Voyvodina/North,M,71,7628
2013,Central and West,M,71,8499
2013,South and East,M,71,7497
2013,State,M,72,31352
2013,Belgrade,M,72,6551
2013,Voyvodina/North,M,72,7633
2013,Central and West,M,72,9407
2013,South and East,M,72,7761
2013,State,M,73,28924
2013,Belgrade,M,73,6293
2013,Voyvodina/North,M,73,7270
2013,Central and West,M,73,8573
2013,South and East,M,73,6788
2013,State,M,74,27945
2013,Belgrade,M,74,6130
2013,Voyvodina/North,M,74,6919
2013,Central and West,M,74,8227
2013,South and East,M,74,6669
2013,State,M,75,27079
2013,Belgrade,M,75,5902
2013,Voyvodina/North,M,75,6473
2013,Central and West,M,75,8093
2013,South and East,M,75,6611
2013,State,M,76,25852
2013,Belgrade,M,76,5665
2013,Voyvodina/North,M,76,6235
2013,Central and West,M,76,7642
2013,South and East,M,76,6310
2013,State,M,77,24326
2013,Belgrade,M,77,5391
2013,Voyvodina/North,M,77,5620
2013,Central and West,M,77,7330
2013,South and East,M,77,5985
2013,State,M,78,22987
2013,Belgrade,M,78,5042
2013,Voyvodina/North,M,78,5057
2013,Central and West,M,78,7025
2013,South and East,M,78,5863
2013,State,M,79,20449
2013,Belgrade,M,79,4401
2013,Voyvodina/North,M,79,4662
2013,Central and West,M,79,6108
2013,South and East,M,79,5278
2013,State,M,80,18611
2013,Belgrade,M,80,3904
2013,Voyvodina/North,M,80,4064
2013,Central and West,M,80,5708
2013,South and East,M,80,4935
2013,State,M,81,16138
2013,Belgrade,M,81,3352
2013,Voyvodina/North,M,81,3381
2013,Central and West,M,81,5289
2013,South and East,M,81,4116
2013,State,M,82,14255
2013,Belgrade,M,82,2994
2013,Voyvodina/North,M,82,3181
2013,Central and West,M,82,4458
2013,South and East,M,82,3622
2013,State,M,83,11672
2013,Belgrade,M,83,2374
2013,Voyvodina/North,M,83,2457
2013,Central and West,M,83,3778
2013,South and East,M,83,3063
2013,State,M,84,9753
2013,Belgrade,M,84,1963
2013,Voyvodina/North,M,84,2197
2013,Central and West,M,84,2981
2013,South and East,M,84,2612
2013,State,M,85,30236
2013,Belgrade,M,85,7679
2013,Voyvodina/North,M,85,6084
2013,Central and West,M,85,8811
2013,South and East,M,85,7662
2013,State,F,-1,3685645
2013,Belgrade,F,-1,878498
2013,Voyvodina/North,F,-1,983988
2013,Central and West,F,-1,1020139
